date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-22,19.95,1,2.0,6.0,0.333,1.0,3.0,0.333,4.0,4.0,1.0,0.0,5.0,5.0,4.0,0.0,0.0,3.0,1.0,9.0,24.0,0.58,0.417,0.5,0.667,0.0,21.1,11.6,25.9,0.0,0.0,27.9,20.5,103.0,94.0,-1.4,"andrew wiggins,stephen curry,kelly oubre jr.,james wiseman,eric paschall,jordan poole,juan toscano-anderson,marquese chriss,damion lee,kent bazemore,kevon looney,mychal mulder","kyrie irving,kevin durant,joe harris,deandre jordan,caris levert,landry shamet,jarrett allen,jeff green,taurean prince,reggie perry,bruce brown,timothe luwawu-cabarrot"
2020-12-25,29.2,0,2.0,6.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,2.0,2.0,1.0,2.0,3.0,6.0,16.0,0.436,0.333,0.333,0.333,0.0,12.2,7.3,8.7,3.5,2.3,22.5,13.9,85.0,95.0,-2.6,"jayson tatum,marcus smart,jaylen brown,daniel theis,tristan thompson,payton pritchard,grant williams,aaron nesmith,javonte green,carsen edwards,tremont waters","kyrie irving,kevin durant,joe harris,deandre jordan,jarrett allen,landry shamet,caris levert,jeff green,taurean prince,timothe luwawu-cabarrot,bruce brown,reggie perry"
2020-12-27,15.18,0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,0.625,0.625,0.5,0.0,0.0,23.9,12.9,33.1,0.0,0.0,0.0,11.3,144.0,104.0,7.6,"gordon hayward,devonte' graham,p.j. washington,terry rozier,bismack biyombo,miles bridges,lamelo ball,cody martin,caleb martin,jalen mcdaniels","kevin durant,kyrie irving,joe harris,deandre jordan,caris levert,jarrett allen,landry shamet,jeff green,timothe luwawu-cabarrot,taurean prince"
2021-10-20,26.15,0,4.0,10.0,0.4,0.0,0.0,0.0,5.0,5.0,1.0,1.0,3.0,4.0,6.0,0.0,0.0,3.0,3.0,13.0,1.0,0.533,0.4,0.0,0.5,4.4,8.7,7.0,38.4,0.0,0.0,19.7,24.6,103.0,91.0,-0.8,"fred vanvleet,og anunoby,scottie barnes,goran dragic,precious achiuwa,gary trent jr.,khem birch,chris boucher,svi mykhailiuk,dalano banton","kyle kuzma,bradley beal,kentavious caldwell-pope,daniel gafford,montrezl harrell,raul neto,deni avdija,davis bertans,aaron holiday"
2021-10-22,34.72,1,13.0,24.0,0.542,6.0,9.0,0.667,2.0,2.0,1.0,2.0,4.0,6.0,9.0,0.0,0.0,1.0,2.0,34.0,3.0,0.683,0.667,0.375,0.083,7.4,15.7,11.4,47.1,0.0,0.0,3.9,35.5,146.0,130.0,11.1,"chris duarte,malcolm brogdon,myles turner,domantas sabonis,justin holiday,jeremy lamb,t.j. mcconnell,torrey craig,oshae brissett","kyle kuzma,kentavious caldwell-pope,aaron holiday,daniel gafford,montrezl harrell,raul neto,davis bertans,deni avdija,corey kispert"
2021-10-25,25.67,0,3.0,13.0,0.231,2.0,6.0,0.333,2.0,2.0,1.0,0.0,5.0,5.0,6.0,0.0,1.0,0.0,1.0,10.0,-13.0,0.36,0.308,0.462,0.154,0.0,18.7,8.7,41.0,0.0,3.2,0.0,22.4,91.0,102.0,3.8,"kevin durant,james harden,joe harris,bruce brown,blake griffin,patty mills,deandre' bembry,nic claxton,jevon carter,james johnson,day'ron sharpe,cam thomas","bradley beal,kyle kuzma,kentavious caldwell-pope,daniel gafford,montrezl harrell,davis bertans,deni avdija,aaron holiday,raul neto,isaiah todd,corey kispert,joel ayayi"
2021-10-27,29.52,0,8.0,16.0,0.5,2.0,5.0,0.4,4.0,4.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,2.0,3.0,22.0,-2.0,0.619,0.563,0.313,0.25,0.0,10.6,5.8,16.3,1.7,0.0,10.1,28.8,124.0,112.0,2.5,"jaylen brown,marcus smart,jayson tatum,robert williams,al horford,dennis schroder,grant williams,josh richardson","bradley beal,kyle kuzma,kentavious caldwell-pope,daniel gafford,montrezl harrell,aaron holiday,davis bertans,deni avdija,corey kispert"
2021-10-30,39.78,1,6.0,18.0,0.333,1.0,7.0,0.143,7.0,8.0,0.875,1.0,8.0,9.0,4.0,1.0,0.0,1.0,1.0,20.0,-5.0,0.465,0.361,0.389,0.444,2.5,20.1,11.3,19.9,1.2,0.0,4.4,24.7,103.0,96.0,2.6,"jaylen brown,jayson tatum,dennis schroder,al horford,grant williams,josh richardson,payton pritchard,romeo langford","kyle kuzma,bradley beal,kentavious caldwell-pope,montrezl harrell,deni avdija,davis bertans,raul neto,aaron holiday,corey kispert"
2021-11-01,28.7,0,5.0,11.0,0.455,1.0,5.0,0.2,3.0,3.0,1.0,0.0,5.0,5.0,10.0,1.0,0.0,1.0,2.0,14.0,12.0,0.568,0.5,0.455,0.273,0.0,19.9,10.1,51.2,1.8,0.0,7.5,21.2,132.0,125.0,7.0,"trae young,bogdan bogdanovic,clint capela,john collins,de'andre hunter,cam reddish,danilo gallinari,delon wright,gorgui dieng","bradley beal,kyle kuzma,kentavious caldwell-pope,daniel gafford,montrezl harrell,raul neto,deni avdija,aaron holiday,corey kispert,davis bertans"
2021-11-03,30.37,1,4.0,8.0,0.5,2.0,5.0,0.4,2.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,4.0,3.0,12.0,-9.0,0.676,0.625,0.625,0.25,3.8,3.6,3.7,17.1,0.0,0.0,31.1,19.5,100.0,125.0,-6.6,"fred vanvleet,og anunoby,svi mykhailiuk,gary trent jr.,precious achiuwa,khem birch,dalano banton,chris boucher,justin champagnie,malachi flynn","bradley beal,kentavious caldwell-pope,kyle kuzma,daniel gafford,montrezl harrell,deni avdija,raul neto,corey kispert,aaron holiday"
