date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-22,30.32,0,7.0,21.0,0.333,2.0,10.0,0.2,4.0,4.0,1.0,3.0,1.0,4.0,10.0,2.0,0.0,3.0,1.0,20.0,-23.0,0.439,0.381,0.476,0.19,8.3,3.4,6.1,61.1,2.9,0.0,11.6,32.1,99.0,114.0,8.1,"kyrie irving,kevin durant,joe harris,spencer dinwiddie,deandre jordan,caris levert,landry shamet,jarrett allen,jeff green,taurean prince,reggie perry,bruce brown,timothe luwawu-cabarrot","andrew wiggins,kelly oubre jr.,james wiseman,eric paschall,jordan poole,juan toscano-anderson,marquese chriss,damion lee,kent bazemore,kevon looney,mychal mulder"
2020-12-25,28.97,0,6.0,17.0,0.353,2.0,10.0,0.2,5.0,5.0,1.0,0.0,4.0,4.0,6.0,1.0,0.0,2.0,2.0,19.0,-24.0,0.495,0.412,0.588,0.294,0.0,15.1,6.4,41.3,1.5,0.0,9.4,29.0,102.0,128.0,3.5,"giannis antetokounmpo,khris middleton,jrue holiday,donte divincenzo,brook lopez,bobby portis,pat connaughton,d.j. wilson,bryn forbes,jordan nwora,thanasis antetokounmpo,torrey craig,sam merrill","james wiseman,eric paschall,andrew wiggins,kelly oubre jr.,jordan poole,damion lee,mychal mulder,marquese chriss,juan toscano-anderson,kevon looney,kent bazemore"
2020-12-27,36.43,0,11.0,25.0,0.44,5.0,15.0,0.333,9.0,9.0,1.0,0.0,2.0,2.0,6.0,2.0,2.0,4.0,1.0,36.0,3.0,0.622,0.54,0.6,0.36,0.0,6.9,2.8,28.7,2.3,5.9,12.1,33.6,115.0,112.0,7.8,"coby white,zach lavine,wendell carter jr.,lauri markkanen,patrick williams,otto porter jr.,garrett temple,chandler hutchison","andrew wiggins,kelly oubre jr.,james wiseman,juan toscano-anderson,damion lee,eric paschall,kevon looney,jordan poole,mychal mulder"
2020-12-29,34.83,0,9.0,17.0,0.529,5.0,9.0,0.556,8.0,8.0,1.0,0.0,5.0,5.0,6.0,2.0,0.0,8.0,5.0,31.0,3.0,0.755,0.676,0.529,0.471,0.0,13.2,8.1,32.3,2.7,0.0,28.1,35.5,112.0,104.0,4.5,"jerami grant,josh jackson,mason plumlee,blake griffin,killian hayes,delon wright,derrick rose,isaiah stewart,saddiq bey,svi mykhailiuk,sekou doumbouya","andrew wiggins,kelly oubre jr.,juan toscano-anderson,james wiseman,kevon looney,damion lee,eric paschall,mychal mulder,jordan poole"
2021-01-01,33.63,1,9.0,20.0,0.45,4.0,12.0,0.333,4.0,4.0,1.0,0.0,8.0,8.0,5.0,0.0,0.0,1.0,1.0,26.0,-27.0,0.597,0.55,0.6,0.2,0.0,23.3,12.0,39.3,0.0,0.0,4.4,29.9,114.0,121.0,7.8,"robert covington,damian lillard,cj mccollum,derrick jones jr.,jusuf nurkic,anfernee simons,cj elleby","andrew wiggins,kelly oubre jr.,james wiseman,draymond green,juan toscano-anderson,kent bazemore,eric paschall,damion lee,kevon looney,mychal mulder,jordan poole"
2021-01-03,36.45,1,18.0,31.0,0.581,8.0,16.0,0.5,18.0,19.0,0.947,1.0,4.0,5.0,4.0,0.0,0.0,5.0,0.0,62.0,20.0,0.788,0.71,0.516,0.613,3.4,9.8,7.1,20.8,0.0,0.0,11.3,49.5,147.0,119.0,18.6,"damian lillard,cj mccollum,robert covington,jusuf nurkic,derrick jones jr.,gary trent jr.,anfernee simons","andrew wiggins,kelly oubre jr.,draymond green,james wiseman,kent bazemore,kevon looney,damion lee,eric paschall,juan toscano-anderson,mychal mulder"
2021-01-04,30.57,1,9.0,18.0,0.5,5.0,12.0,0.417,7.0,7.0,1.0,0.0,9.0,9.0,8.0,0.0,0.0,2.0,3.0,30.0,26.0,0.712,0.639,0.667,0.389,0.0,25.2,14.1,34.1,0.0,0.0,8.7,31.7,135.0,97.0,8.7,"de'aaron fox,buddy hield,harrison barnes,marvin bagley iii,richaun holmes,cory joseph,kyle guy,justin james,chimezie metu,robert woodard ii,jahmi'us ramsey","andrew wiggins,kelly oubre jr.,draymond green,james wiseman,eric paschall,damion lee,kent bazemore,mychal mulder,kevon looney,jordan poole,nico mannion"
2021-01-06,34.98,1,5.0,17.0,0.294,1.0,6.0,0.167,2.0,4.0,0.5,1.0,3.0,4.0,5.0,1.0,0.0,0.0,3.0,13.0,-10.0,0.346,0.324,0.353,0.235,3.1,10.6,6.6,21.3,1.4,0.0,0.0,24.0,87.0,116.0,-4.7,"paul george,kawhi leonard,serge ibaka,patrick beverley,nicolas batum,luke kennard,marcus morris,ivica zubac,reggie jackson,mfiondu kabengele,terance mann","andrew wiggins,draymond green,kelly oubre jr.,james wiseman,damion lee,eric paschall,kent bazemore,kevon looney,mychal mulder"
2021-01-08,36.25,1,13.0,24.0,0.542,9.0,14.0,0.643,3.0,3.0,1.0,0.0,2.0,2.0,11.0,3.0,0.0,2.0,3.0,38.0,13.0,0.75,0.729,0.583,0.125,0.0,6.8,3.5,63.9,4.2,0.0,7.3,34.5,154.0,112.0,24.1,"paul george,kawhi leonard,serge ibaka,nicolas batum,patrick beverley,luke kennard,marcus morris,ivica zubac,reggie jackson,terance mann,amir coffey,mfiondu kabengele,daniel oturu","draymond green,andrew wiggins,kelly oubre jr.,james wiseman,damion lee,eric paschall,kent bazemore,mychal mulder,kevon looney"
2021-01-10,38.2,1,2.0,16.0,0.125,1.0,10.0,0.1,6.0,6.0,1.0,3.0,6.0,9.0,6.0,0.0,0.0,5.0,3.0,11.0,7.0,0.295,0.156,0.625,0.375,8.0,14.5,11.4,21.2,0.0,0.0,21.2,25.5,72.0,109.0,-13.1,"pascal siakam,fred vanvleet,og anunoby,kyle lowry,norman powell,chris boucher,malachi flynn,terence davis,stanley johnson,yuta watanabe","andrew wiggins,draymond green,kelly oubre jr.,james wiseman,kent bazemore,eric paschall,damion lee,kevon looney,mychal mulder"
