date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-26,20.2,0,4.0,5.0,0.8,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,10.0,-6.0,1.0,1.0,0.6,0.0,0.0,6.1,3.0,0.0,0.0,0.0,16.7,13.4,143.0,125.0,0.3,"cj mccollum,damian lillard,robert covington,derrick jones jr.,jusuf nurkic,anfernee simons,gary trent jr.","christian wood,james harden,p.j. tucker,danuel house jr.,david nwaba,jae'sean tate,brodric thomas,bruno caboclo"
2020-12-28,30.67,0,5.0,8.0,0.625,2.0,5.0,0.4,0.0,0.0,0.0,1.0,3.0,4.0,2.0,1.0,0.0,0.0,3.0,12.0,-18.0,0.75,0.75,0.625,0.0,3.4,10.7,7.0,10.0,1.5,0.0,0.0,11.3,150.0,121.0,2.0,"nikola jokic,jamal murray,gary harris,michael porter jr.,monte morris,will barton,pj dozier,isaiah hartenstein,facundo campazzo,bol bol,r.j. hampton,vlatko cancar,zeke nnaji","christian wood,david nwaba,james harden,danuel house jr.,p.j. tucker,jae'sean tate,bruno caboclo,brodric thomas"
2020-12-31,12.47,1,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,6.0,-6.0,1.5,1.5,1.0,0.0,0.0,7.9,4.3,10.3,3.7,0.0,0.0,6.7,284.0,113.0,11.4,"buddy hield,harrison barnes,richaun holmes,de'aaron fox,marvin bagley iii,tyrese haliburton,cory joseph","james harden,john wall,p.j. tucker,christian wood,danuel house jr.,eric gordon,jae'sean tate,demarcus cousins"
2021-01-02,26.38,1,4.0,6.0,0.667,3.0,5.0,0.6,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,2.0,11.0,8.0,0.917,0.917,0.833,0.0,0.0,19.5,11.5,6.3,1.9,0.0,0.0,10.5,180.0,97.0,6.1,"harrison barnes,buddy hield,de'aaron fox,richaun holmes,marvin bagley iii,cory joseph,kyle guy","john wall,danuel house jr.,christian wood,p.j. tucker,eric gordon,jae'sean tate,demarcus cousins,david nwaba"
2021-01-04,15.62,1,1.0,5.0,0.2,1.0,4.0,0.25,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,0.425,0.3,0.8,0.4,0.0,8.1,3.6,0.0,0.0,0.0,0.0,17.2,89.0,126.0,-7.6,"luka doncic,dorian finney-smith,josh richardson,willie cauley-stein,maxi kleber,tim hardaway jr.,james johnson,jalen brunson,dwight powell,trey burke,wes iwundu","james harden,p.j. tucker,john wall,christian wood,david nwaba,eric gordon,jae'sean tate,demarcus cousins,bruno caboclo,brodric thomas"
2021-01-06,13.78,0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,-15.0,0.5,0.5,0.0,0.0,0.0,17.0,9.0,0.0,3.5,0.0,33.3,9.6,62.0,113.0,-7.0,"malcolm brogdon,domantas sabonis,victor oladipo,myles turner,aaron holiday,justin holiday,t.j. mcconnell,doug mcdermott","james harden,david nwaba,john wall,p.j. tucker,demarcus cousins,eric gordon,jae'sean tate"
2021-01-08,18.17,1,3.0,4.0,0.75,3.0,4.0,0.75,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,3.0,9.0,21.0,1.125,1.125,1.0,0.0,6.6,20.7,14.5,0.0,0.0,0.0,0.0,10.2,205.0,97.0,4.6,"gary clark,nikola vucevic,cole anthony,jordan bone,khem birch,karim mane,terrence ross,mo bamba","james harden,john wall,p.j. tucker,christian wood,david nwaba,eric gordon,demarcus cousins,jae'sean tate,mason jones,kenyon martin jr.,bruno caboclo"
2021-01-10,13.2,1,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,8.0,0.417,0.417,0.667,0.0,14.0,9.1,11.9,24.5,0.0,0.0,0.0,18.0,114.0,121.0,2.5,"dennis schroder,lebron james,anthony davis,kentavious caldwell-pope,kyle kuzma,montrezl harrell,alex caruso,talen horton-tucker,alfonzo mckinnie,markieff morris","james harden,john wall,christian wood,p.j. tucker,david nwaba,eric gordon,jae'sean tate,demarcus cousins,mason jones,bruno caboclo,kenyon martin jr."
2021-01-12,17.92,1,1.0,7.0,0.143,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,4.0,0.0,1.0,2.0,2.0,-9.0,0.143,0.143,0.429,0.0,9.9,0.0,5.5,7.6,10.3,0.0,12.5,18.3,48.0,100.0,-6.9,"lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,kyle kuzma,montrezl harrell,alex caruso,talen horton-tucker,markieff morris,alfonzo mckinnie","james harden,john wall,christian wood,p.j. tucker,david nwaba,jae'sean tate,eric gordon,demarcus cousins,mason jones,kenyon martin jr.,bruno caboclo"
2021-01-14,36.6,0,9.0,17.0,0.529,3.0,7.0,0.429,2.0,2.0,1.0,2.0,5.0,7.0,3.0,2.0,0.0,1.0,1.0,23.0,0.0,0.643,0.618,0.412,0.118,6.4,13.4,10.2,13.0,2.7,0.0,5.3,22.0,132.0,106.0,5.9,"dejounte murray,demar derozan,keldon johnson,lonnie walker iv,patty mills,devin vassell,rudy gay,jakob poeltl","p.j. tucker,christian wood,jae'sean tate,david nwaba,demarcus cousins,kenyon martin jr.,mason jones"
