date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,16.58,0,1.0,8.0,0.125,1.0,8.0,0.125,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,0.188,0.188,1.0,0.0,0.0,11.8,6.3,6.9,0.0,0.0,0.0,21.3,47.0,117.0,-16.8,"josh okogie,karl-anthony towns,malik beasley,ricky rubio,jake layman,d'angelo russell,anthony edwards,jarrett culver,naz reid,juancho hernangomez","blake griffin,mason plumlee,jerami grant,killian hayes,delon wright,josh jackson,derrick rose,jahlil okafor,sekou doumbouya"
2020-12-26,23.57,1,4.0,9.0,0.444,1.0,6.0,0.167,3.0,3.0,1.0,0.0,3.0,3.0,2.0,2.0,0.0,3.0,2.0,12.0,3.0,0.581,0.5,0.667,0.333,0.0,13.7,6.8,16.3,4.0,0.0,22.5,24.4,94.0,101.0,-1.2,"collin sexton,darius garland,andre drummond,isaac okoro,kevin love,cedi osman,larry nance jr.,javale mcgee","blake griffin,jerami grant,delon wright,mason plumlee,killian hayes,derrick rose,josh jackson,jahlil okafor,sekou doumbouya,saddiq bey"
2020-12-28,14.05,0,1.0,6.0,0.167,0.0,4.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,-11.0,0.291,0.167,0.667,0.333,0.0,17.5,7.3,0.0,0.0,0.0,0.0,20.2,72.0,135.0,-18.3,"trae young,de'andre hunter,cam reddish,john collins,clint capela,bogdan bogdanovic,kevin huerter,bruno fernando","jerami grant,mason plumlee,saddiq bey,killian hayes,josh jackson,delon wright,isaiah stewart,sekou doumbouya"
2020-12-29,11.92,1,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,0.75,0.75,1.0,0.0,0.0,24.4,9.5,0.0,3.9,0.0,0.0,13.5,149.0,109.0,6.4,"andrew wiggins,stephen curry,kelly oubre jr.,juan toscano-anderson,james wiseman,kevon looney,damion lee,eric paschall,mychal mulder,jordan poole","jerami grant,josh jackson,mason plumlee,blake griffin,killian hayes,delon wright,derrick rose,isaiah stewart,saddiq bey,sekou doumbouya"
2021-01-01,17.82,1,3.0,7.0,0.429,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,-10.0,0.643,0.643,0.857,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,16.3,130.0,95.0,8.3,"marcus smart,jaylen brown,jayson tatum,tristan thompson,daniel theis,grant williams,payton pritchard,robert williams,carsen edwards","jerami grant,saddiq bey,mason plumlee,josh jackson,killian hayes,derrick rose,delon wright,isaiah stewart,sekou doumbouya"
2021-01-03,14.73,1,5.0,8.0,0.625,3.0,6.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,4.0,0.845,0.813,0.75,0.25,0.0,17.6,8.8,13.2,0.0,0.0,0.0,27.3,162.0,132.0,12.8,"jayson tatum,jaylen brown,marcus smart,tristan thompson,daniel theis,payton pritchard,robert williams","jerami grant,blake griffin,mason plumlee,killian hayes,josh jackson,derrick rose,saddiq bey,delon wright,isaiah stewart,sekou doumbouya,jahlil okafor"
2021-01-04,29.58,0,3.0,6.0,0.5,3.0,5.0,0.6,4.0,4.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,13.0,0.0,0.838,0.75,0.833,0.667,3.4,10.1,6.1,12.8,1.6,3.2,0.0,11.3,175.0,122.0,7.2,"giannis antetokounmpo,khris middleton,jrue holiday,brook lopez,donte divincenzo,bobby portis,bryn forbes,jordan nwora,thanasis antetokounmpo","jerami grant,saddiq bey,mason plumlee,killian hayes,derrick rose,sekou doumbouya,isaiah stewart,delon wright,rodney mcgruder,jahlil okafor"
2021-01-06,13.52,0,3.0,8.0,0.375,2.0,6.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,8.0,-3.0,0.5,0.5,0.75,0.0,0.0,17.3,7.6,51.9,0.0,0.0,0.0,23.8,127.0,131.0,5.9,"khris middleton,jrue holiday,giannis antetokounmpo,brook lopez,donte divincenzo,bobby portis,bryn forbes,jordan nwora,thanasis antetokounmpo","jerami grant,blake griffin,delon wright,mason plumlee,saddiq bey,isaiah stewart,sekou doumbouya,saben lee,jahlil okafor,derrick rose,rodney mcgruder,deividas sirvydis"
2021-01-08,17.13,1,2.0,9.0,0.222,2.0,8.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0,-12.0,0.333,0.333,0.889,0.0,0.0,0.0,0.0,10.0,2.9,0.0,10.0,26.5,65.0,104.0,-7.4,"devin booker,chris paul,deandre ayton,mikal bridges,jae crowder,dario saric,cameron johnson,cameron payne,jevon carter,langston galloway","jerami grant,blake griffin,delon wright,mason plumlee,josh jackson,saddiq bey,derrick rose,jahlil okafor,frank jackson,isaiah stewart,sekou doumbouya"
2021-01-10,14.97,1,1.0,9.0,0.111,1.0,8.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,-9.0,0.167,0.167,0.889,0.0,0.0,0.0,0.0,0.0,7.3,6.8,0.0,28.0,36.0,103.0,-6.9,"donovan mitchell,rudy gobert,royce o'neale,mike conley,bojan bogdanovic,jordan clarkson,joe ingles,derrick favors,georges niang","jerami grant,delon wright,blake griffin,mason plumlee,josh jackson,saddiq bey,isaiah stewart,frank jackson,jahlil okafor,sekou doumbouya"
