date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-01-29,0.65,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,-4.9,"collin sexton,isaac okoro,darius garland,larry nance jr.,andre drummond,jarrett allen,taurean prince,dylan windler,cedi osman,dean wade","rj barrett,julius randle,alec burks,elfrid payton,mitchell robinson,nerlens noel,immanuel quickley,austin rivers,obi toppin,kevin knox"
2021-01-31,18.35,1,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,-11.0,0.0,0.0,0.25,0.0,19.1,15.9,17.7,6.4,0.0,6.1,0.0,10.0,72.0,142.0,-13.1,"kawhi leonard,paul george,reggie jackson,serge ibaka,marcus morris,ivica zubac,terance mann,luke kennard,amir coffey,mfiondu kabengele","julius randle,rj barrett,mitchell robinson,reggie bullock,elfrid payton,immanuel quickley,alec burks,austin rivers,obi toppin"
2021-02-06,13.8,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17.2,0.0,0.0,0.0,3.2,212.0,112.0,2.1,"damian lillard,robert covington,gary trent jr.,anfernee simons,derrick jones jr.","julius randle,elfrid payton,rj barrett,mitchell robinson,reggie bullock,alec burks,immanuel quickley,obi toppin,austin rivers"
2021-02-07,16.08,1,4.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,4.0,9.0,4.0,0.922,1.125,0.25,0.5,18.7,0.0,10.2,11.5,0.0,0.0,17.0,16.9,149.0,123.0,2.9,"bam adebayo,duncan robinson,jimmy butler,kendrick nunn,kelly olynyk,tyler herro,andre iguodala,gabe vincent,precious achiuwa","julius randle,mitchell robinson,reggie bullock,elfrid payton,rj barrett,alec burks,immanuel quickley,austin rivers,obi toppin"
2021-02-12,12.0,0,2.0,5.0,0.4,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.51,0.4,0.4,0.4,7.7,13.6,10.8,0.0,0.0,0.0,0.0,19.8,120.0,96.0,-1.2,"russell westbrook,rui hachimura,davis bertans,garrison mathews,alex len,deni avdija,troy brown jr.,robin lopez,raul neto,ish smith,moritz wagner","julius randle,rj barrett,elfrid payton,mitchell robinson,reggie bullock,alec burks,immanuel quickley,derrick rose,nerlens noel,obi toppin,kevin knox,austin rivers,theo pinson"
2021-02-13,15.6,1,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,14.0,0.667,0.667,0.0,0.0,0.0,29.6,17.1,0.0,0.0,0.0,0.0,9.0,128.0,100.0,-1.5,"eric gordon,p.j. tucker,john wall,jae'sean tate,demarcus cousins,sterling brown,danuel house jr.,david nwaba,ray spalding,mason jones","julius randle,nerlens noel,reggie bullock,rj barrett,elfrid payton,alec burks,derrick rose,immanuel quickley,obi toppin,kevin knox,austin rivers,theo pinson"
2021-02-15,16.65,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,0.0,0.0,1.0,0.0,4.0,1.0,-3.0,0.568,0.0,0.0,0.0,7.0,13.4,10.3,0.0,0.0,5.5,0.0,2.5,161.0,121.0,-6.9,"trae young,kevin huerter,clint capela,cam reddish,john collins,danilo gallinari,skylar mays,onyeka okongwu","julius randle,rj barrett,nerlens noel,elfrid payton,reggie bullock,derrick rose,immanuel quickley,alec burks,obi toppin"
2021-02-17,16.1,0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,2.0,1.0,1.0,2.0,2.0,-9.0,0.333,0.333,0.333,0.0,17.9,19.4,18.6,0.0,6.1,5.1,25.0,10.7,81.0,95.0,-1.7,"nikola vucevic,evan fournier,michael carter-williams,gary clark,terrence ross,chasson randle,chuma okeke,khem birch,mo bamba","julius randle,reggie bullock,nerlens noel,rj barrett,elfrid payton,alec burks,immanuel quickley,derrick rose,obi toppin,kevin knox"
2021-02-21,19.1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,7.0,1.0,2.0,1.0,0.0,3.0,2.0,8.0,0.532,1.0,0.0,2.0,5.3,34.3,19.3,8.2,5.2,5.3,0.0,4.4,126.0,86.0,6.8,"malik beasley,anthony edwards,karl-anthony towns,ricky rubio,jarred vanderbilt,jaden mcdaniels,jordan mclaughlin,naz reid,jaylen nowell,juancho hernangomez,josh okogie,jake layman","julius randle,rj barrett,elfrid payton,reggie bullock,nerlens noel,alec burks,derrick rose,immanuel quickley,obi toppin"
2021-02-23,24.35,1,2.0,3.0,0.667,0.0,0.0,0.0,4.0,4.0,1.0,3.0,8.0,11.0,0.0,1.0,0.0,3.0,2.0,8.0,10.0,0.84,0.667,0.0,1.333,11.4,35.0,22.4,0.0,2.0,0.0,38.7,12.8,112.0,111.0,-1.6,"andrew wiggins,draymond green,stephen curry,kelly oubre jr.,kevon looney,kent bazemore,james wiseman,eric paschall,damion lee","julius randle,elfrid payton,rj barrett,nerlens noel,reggie bullock,derrick rose,alec burks,obi toppin,immanuel quickley"
