date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2022-10-19,15.1,0,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,8.0,-1.0,0.667,0.667,0.0,0.0,19.5,29.6,24.2,0.0,0.0,0.0,0.0,15.9,147.0,116.0,2.8,"dejounte murray,trae young,john collins,de'andre hunter,clint capela,onyeka okongwu,justin holiday,aaron holiday,jalen johnson","kevin porter jr.,jabari smith jr.,jalen green,eric gordon,bruno fernando,kenyon martin jr.,alperen sengun,garrison mathews,josh christopher"
2022-10-21,19.52,1,2.0,6.0,0.333,1.0,2.0,0.5,1.0,1.0,1.0,1.0,6.0,7.0,1.0,0.0,1.0,0.0,1.0,6.0,11.0,0.466,0.417,0.333,0.167,5.3,30.1,18.1,6.3,0.0,4.4,0.0,13.2,119.0,119.0,-0.3,"desmond bane,steven adams,ja morant,santi aldama,john konchar,david roddy,tyus jones,jake laravia,brandon clarke,xavier tillman sr.","eric gordon,jalen green,kevin porter jr.,jabari smith jr.,bruno fernando,alperen sengun,kenyon martin jr.,garrison mathews,josh christopher"
2022-10-22,18.82,0,4.0,9.0,0.444,3.0,4.0,0.75,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,11.0,-7.0,0.611,0.611,0.444,0.0,0.0,12.8,5.4,9.9,2.6,14.2,10.0,22.2,112.0,114.0,6.5,"jrue holiday,brook lopez,grayson allen,giannis antetokounmpo,jevon carter,george hill,bobby portis,jordan nwora,serge ibaka,wesley matthews,marjon beauchamp,a.j. green,sandro mamukelashvili,thanasis antetokounmpo","kevin porter jr.,jalen green,kenyon martin jr.,jabari smith jr.,usman garuba,alperen sengun,josh christopher,daishen nix,garrison mathews,trevor hudgins,boban marjanovic"
2022-10-24,18.75,1,4.0,12.0,0.333,0.0,2.0,0.0,3.0,4.0,0.75,5.0,4.0,9.0,0.0,3.0,0.0,1.0,3.0,11.0,7.0,0.4,0.333,0.167,0.333,26.7,21.3,24.0,0.0,7.8,0.0,6.8,31.7,102.0,92.0,-2.6,"jarred vanderbilt,lauri markkanen,jordan clarkson,mike conley,kelly olynyk,malik beasley,talen horton-tucker,simone fontecchio,collin sexton,rudy gay,walker kessler,nickeil alexander-walker","jalen green,kevin porter jr.,kenyon martin jr.,jabari smith jr.,eric gordon,daishen nix,garrison mathews,usman garuba,josh christopher,boban marjanovic"
2022-10-26,23.17,0,1.0,7.0,0.143,1.0,4.0,0.25,0.0,0.0,0.0,3.0,3.0,6.0,1.0,1.0,0.0,0.0,4.0,3.0,-11.0,0.214,0.214,0.571,0.0,11.1,13.5,12.2,6.1,2.0,0.0,0.0,11.7,76.0,104.0,-6.3,"lauri markkanen,kelly olynyk,jordan clarkson,mike conley,jarred vanderbilt,malik beasley,talen horton-tucker,rudy gay,walker kessler,collin sexton,simone fontecchio","jalen green,kevin porter jr.,jabari smith jr.,eric gordon,jae'sean tate,kenyon martin jr.,garrison mathews,daishen nix,usman garuba,boban marjanovic"
2022-10-28,15.3,0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,4.0,-1.0,0.5,0.5,0.0,0.0,6.7,17.0,11.2,0.0,3.1,0.0,0.0,10.6,115.0,123.0,-6.4,"anfernee simons,jerami grant,josh hart,jusuf nurkic,shaedon sharpe,justise winslow,keon johnson,nassir little,drew eubanks,greg brown iii,jabari walker","kevin porter jr.,eric gordon,jabari smith jr.,jalen green,alperen sengun,jae'sean tate,kenyon martin jr.,garrison mathews,daishen nix,usman garuba,josh christopher"
2022-10-30,11.83,0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,4.0,9.0,-4.0,1.125,1.125,0.25,0.0,18.9,0.0,9.5,18.6,4.3,0.0,20.0,17.9,170.0,127.0,13.8,"devin booker,mikal bridges,cameron johnson,chris paul,bismack biyombo,jock landale,torrey craig,cameron payne,landry shamet,damion lee,josh okogie,duane washington jr.","kevin porter jr.,jalen green,jae'sean tate,alperen sengun,jabari smith jr.,kenyon martin jr.,garrison mathews,josh christopher,usman garuba,daishen nix"
2022-10-31,11.83,0,2.0,7.0,0.286,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0,-3.0,0.381,0.286,0.143,0.286,9.0,0.0,4.5,0.0,4.1,0.0,11.3,32.4,76.0,97.0,-9.1,"paul george,marcus morris,luke kennard,ivica zubac,reggie jackson,norman powell,nicolas batum,terance mann,amir coffey,brandon boston jr.","jalen green,kevin porter jr.,jabari smith jr.,eric gordon,alperen sengun,kenyon martin jr.,garrison mathews,usman garuba,daishen nix,josh christopher"
2022-11-02,18.15,1,3.0,7.0,0.429,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,2.0,1.0,3.0,2.0,2.0,6.0,-4.0,0.429,0.429,0.143,0.0,15.9,24.6,19.9,18.2,2.7,15.6,22.2,20.5,92.0,99.0,3.6,"paul george,marcus morris,reggie jackson,ivica zubac,luke kennard,norman powell,john wall,terance mann,nicolas batum,moses brown,amir coffey","kevin porter jr.,alperen sengun,eric gordon,jalen green,jabari smith jr.,daishen nix,kenyon martin jr.,usman garuba,garrison mathews"
2022-11-05,23.98,0,6.0,8.0,0.75,2.0,2.0,1.0,3.0,5.0,0.6,3.0,3.0,6.0,2.0,1.0,0.0,1.0,3.0,17.0,2.0,0.833,0.875,0.25,0.625,15.4,20.0,17.4,14.3,1.9,0.0,8.9,18.7,157.0,125.0,8.7,"jaden mcdaniels,anthony edwards,kyle anderson,karl-anthony towns,d'angelo russell,taurean prince,jordan mclaughlin,jaylen nowell,naz reid,nathan knight,austin rivers","kenyon martin jr.,jalen green,kevin porter jr.,eric gordon,alperen sengun,usman garuba,daishen nix,garrison mathews,josh christopher,boban marjanovic"
