date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-22,16.1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.266,0.0,1.0,2.0,0.0,5.2,2.9,0.0,2.7,4.5,0.0,4.4,64.0,91.0,-1.7,"andrew wiggins,stephen curry,kelly oubre jr.,james wiseman,eric paschall,jordan poole,juan toscano-anderson,marquese chriss,damion lee,kent bazemore,kevon looney,mychal mulder","kyrie irving,kevin durant,joe harris,spencer dinwiddie,deandre jordan,caris levert,landry shamet,jarrett allen,jeff green,reggie perry,bruce brown,timothe luwawu-cabarrot"
2020-12-25,12.1,0,1.0,5.0,0.2,1.0,2.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,-7.0,0.425,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.0,5.6,0.0,22.3,98.0,108.0,-8.4,"jayson tatum,marcus smart,jaylen brown,daniel theis,tristan thompson,payton pritchard,grant williams,aaron nesmith,javonte green,carsen edwards,tremont waters","kyrie irving,kevin durant,spencer dinwiddie,joe harris,deandre jordan,jarrett allen,landry shamet,caris levert,jeff green,timothe luwawu-cabarrot,bruce brown,reggie perry"
2020-12-27,11.65,0,0.0,5.0,0.0,0.0,5.0,0.0,2.0,4.0,0.5,0.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,-9.0,0.148,0.0,1.0,0.8,0.0,15.5,8.4,0.0,4.0,6.6,12.9,28.5,28.0,92.0,-17.7,"gordon hayward,devonte' graham,p.j. washington,terry rozier,bismack biyombo,miles bridges,lamelo ball,cody martin,caleb martin,jalen mcdaniels","kevin durant,kyrie irving,joe harris,deandre jordan,spencer dinwiddie,caris levert,jarrett allen,landry shamet,jeff green,timothe luwawu-cabarrot"
2020-12-28,18.58,1,2.0,8.0,0.25,1.0,4.0,0.25,4.0,4.0,1.0,0.0,5.0,5.0,0.0,1.0,0.0,1.0,3.0,9.0,-14.0,0.461,0.313,0.5,0.5,0.0,26.9,13.5,0.0,2.6,0.0,9.3,24.7,91.0,101.0,-7.7,"jonas valanciunas,kyle anderson,dillon brooks,grayson allen,ja morant,tyus jones,brandon clarke,desmond bane,john konchar,gorgui dieng","joe harris,timothe luwawu-cabarrot,caris levert,deandre jordan,chris chiozza,landry shamet,jeff green,jarrett allen"
2020-12-30,18.55,1,5.0,5.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,12.0,7.0,1.2,1.2,0.4,0.0,0.0,16.2,8.3,6.3,2.4,0.0,0.0,11.0,240.0,129.0,12.6,"de'andre hunter,cam reddish,trae young,john collins,clint capela,bogdan bogdanovic,kevin huerter,bruno fernando,danilo gallinari","kevin durant,kyrie irving,joe harris,timothe luwawu-cabarrot,deandre jordan,jarrett allen,caris levert,landry shamet,jeff green"
2021-01-01,13.72,1,1.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,5.0,-10.0,0.868,0.75,0.5,1.0,0.0,23.3,11.3,0.0,0.0,6.5,25.8,12.2,124.0,115.0,0.7,"trae young,cam reddish,de'andre hunter,clint capela,john collins,bogdan bogdanovic,kevin huerter,brandon goodwin,bruno fernando,nathan knight,skylar mays","kevin durant,kyrie irving,joe harris,timothe luwawu-cabarrot,deandre jordan,caris levert,jarrett allen,landry shamet,jeff green,bruce brown,chris chiozza,reggie perry"
2021-01-03,15.15,1,2.0,5.0,0.4,2.0,3.0,0.667,2.0,2.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,3.0,4.0,8.0,-12.0,0.68,0.6,0.6,0.4,0.0,27.8,15.8,0.0,0.0,0.0,33.8,24.5,82.0,113.0,-9.8,"russell westbrook,bradley beal,rui hachimura,thomas bryant,deni avdija,davis bertans,robin lopez,raul neto,jerome robinson,ish smith","kyrie irving,kevin durant,joe harris,timothe luwawu-cabarrot,deandre jordan,caris levert,jarrett allen,landry shamet,jeff green"
2021-01-05,19.65,1,3.0,9.0,0.333,1.0,5.0,0.2,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,8.0,13.0,0.424,0.389,0.556,0.111,0.0,0.0,0.0,10.9,0.0,4.7,0.0,20.6,100.0,102.0,-5.1,"donovan mitchell,rudy gobert,mike conley,bojan bogdanovic,royce o'neale,joe ingles,jordan clarkson,derrick favors,miye oni,elijah hughes,udoka azubuike,trent forrest,shaquille harrison,georges niang","jarrett allen,kyrie irving,bruce brown,jeff green,timothe luwawu-cabarrot,joe harris,caris levert,deandre jordan,reggie perry,landry shamet,chris chiozza"
2021-01-07,21.53,1,4.0,8.0,0.5,2.0,4.0,0.5,3.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,13.0,18.0,0.697,0.625,0.5,0.375,0.0,5.4,2.3,6.4,4.1,3.7,9.7,18.9,125.0,95.0,6.5,"shake milton,tobias harris,danny green,ben simmons,joel embiid,tyrese maxey,matisse thybulle,dakota mathias,isaiah joe","caris levert,jeff green,jarrett allen,bruce brown,joe harris,timothe luwawu-cabarrot,landry shamet,deandre jordan,chris chiozza"
2021-01-08,24.48,0,4.0,13.0,0.308,1.0,4.0,0.25,7.0,7.0,1.0,0.0,4.0,4.0,0.0,1.0,1.0,2.0,1.0,16.0,10.0,0.498,0.346,0.308,0.538,0.0,15.7,8.9,0.0,1.9,3.0,11.1,32.2,89.0,109.0,-7.0,"brandon clarke,tyus jones,dillon brooks,kyle anderson,jonas valanciunas,grayson allen,de'anthony melton,desmond bane,xavier tillman sr.,gorgui dieng","caris levert,jeff green,jarrett allen,bruce brown,joe harris,landry shamet,timothe luwawu-cabarrot,deandre jordan,chris chiozza"
2021-01-10,23.75,1,5.0,7.0,0.714,1.0,2.0,0.5,0.0,0.0,0.0,1.0,4.0,5.0,2.0,1.0,0.0,1.0,1.0,11.0,-5.0,0.786,0.786,0.286,0.0,5.5,20.2,13.1,12.3,1.9,0.0,12.5,14.4,140.0,122.0,5.4,"shai gilgeous-alexander,darius bazley,george hill,al horford,luguentz dort,hamidou diallo,isaiah roby,theo maledon,aleksej pokusevski,kenrich williams,moses brown","kevin durant,caris levert,jarrett allen,joe harris,jeff green,timothe luwawu-cabarrot,landry shamet,deandre jordan,bruce brown"
