date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,2.58,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.3,0.0,118.0,-25.4,"brandon ingram,steven adams,zion williamson,lonzo ball,josh hart,jaxson hayes,nickeil alexander-walker","pascal siakam,kyle lowry,og anunoby,fred vanvleet,norman powell,chris boucher,deandre' bembry,malachi flynn,stanley johnson"
2020-12-31,16.25,1,4.0,7.0,0.571,2.0,5.0,0.4,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,3.0,3.0,10.0,-5.0,0.714,0.714,0.714,0.0,0.0,22.3,11.7,0.0,0.0,5.7,30.0,27.3,81.0,83.0,-0.7,"reggie bullock,julius randle,rj barrett,mitchell robinson,elfrid payton,kevin knox,austin rivers,nerlens noel,theo pinson,ignas brazdeikis","kyle lowry,fred vanvleet,og anunoby,norman powell,chris boucher,stanley johnson,alex len,yuta watanabe,deandre' bembry,malachi flynn"
2021-01-02,5.12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,21.3,10.4,24.7,0.0,0.0,0.0,0.0,237.0,123.0,-2.1,"brandon ingram,lonzo ball,zion williamson,steven adams,josh hart,jaxson hayes,nickeil alexander-walker","fred vanvleet,kyle lowry,og anunoby,pascal siakam,chris boucher,norman powell,stanley johnson,alex len"
2021-01-04,17.15,1,4.0,8.0,0.5,1.0,2.0,0.5,4.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,13.0,5.0,0.666,0.563,0.25,0.5,5.4,6.8,6.0,33.9,2.7,0.0,9.3,25.8,133.0,123.0,7.9,"jaylen brown,jayson tatum,tremont waters,tristan thompson,daniel theis,payton pritchard,grant williams,robert williams,aaron nesmith","fred vanvleet,pascal siakam,kyle lowry,og anunoby,chris boucher,norman powell,malachi flynn,stanley johnson,alex len,yuta watanabe"
2021-01-08,22.27,0,7.0,13.0,0.538,4.0,8.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,18.0,25.0,0.692,0.692,0.615,0.0,0.0,6.2,3.1,17.1,0.0,0.0,7.1,26.8,142.0,131.0,1.1,"buddy hield,harrison barnes,marvin bagley iii,de'aaron fox,richaun holmes,tyrese haliburton,cory joseph,kyle guy,justin james,jahmi'us ramsey,robert woodard ii","fred vanvleet,pascal siakam,og anunoby,norman powell,alex len,chris boucher,yuta watanabe,malachi flynn,stanley johnson,deandre' bembry,jalen harris"
2021-01-10,12.3,0,1.0,6.0,0.167,0.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,-6.0,0.233,0.167,0.333,0.167,0.0,16.6,7.9,0.0,3.9,0.0,0.0,21.7,55.0,103.0,-10.2,"stephen curry,andrew wiggins,draymond green,kelly oubre jr.,james wiseman,kent bazemore,eric paschall,damion lee,kevon looney,mychal mulder","pascal siakam,fred vanvleet,og anunoby,kyle lowry,norman powell,chris boucher,malachi flynn,stanley johnson,yuta watanabe"
2021-01-11,9.5,0,2.0,5.0,0.4,2.0,5.0,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,6.0,-9.0,0.6,0.6,1.0,0.0,0.0,11.5,5.9,16.9,5.1,0.0,0.0,23.1,121.0,107.0,8.5,"damian lillard,cj mccollum,robert covington,derrick jones jr.,jusuf nurkic,gary trent jr.","pascal siakam,fred vanvleet,og anunoby,kyle lowry,alex len,chris boucher,stanley johnson,norman powell"
2021-01-18,11.73,1,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,6.0,2.0,0.6,0.6,0.2,0.0,0.0,9.1,4.9,0.0,0.0,0.0,16.7,22.3,94.0,102.0,-12.6,"luka doncic,kristaps porzingis,jalen brunson,tim hardaway jr.,willie cauley-stein,james johnson,trey burke,josh green,wes iwundu,boban marjanovic,tyrell terry,tyler bey,nate hinton","kyle lowry,pascal siakam,fred vanvleet,og anunoby,chris boucher,norman powell,stanley johnson,deandre' bembry,malachi flynn,yuta watanabe"
2021-01-20,24.0,1,6.0,12.0,0.5,4.0,9.0,0.444,0.0,0.0,0.0,1.0,3.0,4.0,1.0,3.0,1.0,2.0,3.0,16.0,4.0,0.667,0.667,0.75,0.0,4.0,16.2,9.2,8.7,6.4,5.0,14.3,25.9,106.0,104.0,9.5,"duncan robinson,bam adebayo,goran dragic,kelly olynyk,gabe vincent,kendrick nunn,andre iguodala,precious achiuwa,max strus","og anunoby,fred vanvleet,pascal siakam,kyle lowry,chris boucher,norman powell,stanley johnson"
2021-01-22,16.65,1,5.0,10.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,12.0,0.0,0.6,0.6,0.5,0.0,0.0,7.8,3.7,11.7,0.0,0.0,33.3,39.7,77.0,93.0,-9.9,"duncan robinson,bam adebayo,goran dragic,gabe vincent,kelly olynyk,kendrick nunn,andre iguodala,max strus,precious achiuwa,maurice harkless,kz okpala","fred vanvleet,og anunoby,pascal siakam,norman powell,chris boucher,malachi flynn,stanley johnson,yuta watanabe,deandre' bembry,jalen harris"
