date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-31,27.03,0,7.0,12.0,0.583,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,6.0,2.0,0.0,2.0,2.0,15.0,19.0,0.625,0.625,0.167,0.0,4.8,8.1,6.6,28.4,3.4,0.0,14.3,21.1,124.0,122.0,3.4,"russell westbrook,bradley beal,thomas bryant,rui hachimura,deni avdija,raul neto,davis bertans,troy brown jr.,ish smith,moritz wagner,robin lopez","coby white,zach lavine,otto porter jr.,wendell carter jr.,patrick williams,garrett temple,daniel gafford,denzel valentine"
2021-01-01,22.57,0,2.0,5.0,0.4,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,6.0,-19.0,0.51,0.4,0.4,0.4,0.0,5.2,2.5,12.6,2.0,10.6,40.5,18.1,67.0,112.0,-7.0,"giannis antetokounmpo,jrue holiday,khris middleton,donte divincenzo,brook lopez,bobby portis,bryn forbes,pat connaughton,thanasis antetokounmpo,jordan nwora,sam merrill,d.j. wilson","coby white,zach lavine,patrick williams,wendell carter jr.,otto porter jr.,denzel valentine,garrett temple,daniel gafford,adam mokoka,devon dotson,luke kornet"
2021-01-03,28.43,1,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.0,1.0,4.0,1.0,1.0,0.0,3.0,3.0,7.0,13.0,0.583,0.583,0.333,0.0,12.4,3.5,7.6,5.0,1.7,0.0,33.3,13.3,96.0,112.0,-6.2,"jalen brunson,josh richardson,dorian finney-smith,tim hardaway jr.,dwight powell,maxi kleber,trey burke,james johnson,willie cauley-stein,boban marjanovic,josh green,nate hinton,tyrell terry","zach lavine,coby white,otto porter jr.,patrick williams,wendell carter jr.,garrett temple,daniel gafford,denzel valentine"
2021-01-05,23.2,0,4.0,8.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,2.0,6.0,8.0,4.0,0.0,0.0,3.0,4.0,10.0,2.0,0.592,0.563,0.25,0.125,8.8,24.3,16.9,26.1,0.0,0.0,26.2,20.8,105.0,109.0,-2.3,"damian lillard,robert covington,cj mccollum,derrick jones jr.,jusuf nurkic,gary trent jr.,anfernee simons","zach lavine,coby white,otto porter jr.,wendell carter jr.,patrick williams,garrett temple,denzel valentine,daniel gafford"
2021-01-06,20.75,0,4.0,5.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,8.0,-2.0,0.8,0.8,0.2,0.0,0.0,10.3,5.6,0.0,0.0,0.0,37.5,16.3,85.0,134.0,-12.0,"harrison barnes,buddy hield,richaun holmes,marvin bagley iii,de'aaron fox,tyrese haliburton,cory joseph","coby white,zach lavine,wendell carter jr.,otto porter jr.,patrick williams,garrett temple,denzel valentine,daniel gafford"
2021-01-08,29.87,0,7.0,12.0,0.583,0.0,1.0,0.0,1.0,1.0,1.0,3.0,4.0,7.0,5.0,1.0,0.0,2.0,4.0,15.0,-2.0,0.603,0.583,0.083,0.083,11.8,15.3,13.6,23.1,1.7,0.0,13.9,21.3,123.0,122.0,0.4,"dennis schroder,lebron james,wesley matthews,markieff morris,montrezl harrell,talen horton-tucker,kyle kuzma,alex caruso","zach lavine,patrick williams,coby white,wendell carter jr.,otto porter jr.,garrett temple,denzel valentine,daniel gafford,adam mokoka"
2021-01-10,25.33,0,6.0,7.0,0.857,0.0,0.0,0.0,2.0,3.0,0.667,0.0,5.0,5.0,2.0,0.0,0.0,0.0,2.0,14.0,-5.0,0.841,0.857,0.0,0.429,0.0,20.2,13.0,10.6,0.0,0.0,0.0,14.8,173.0,131.0,1.8,"paul george,kawhi leonard,nicolas batum,serge ibaka,patrick beverley,marcus morris,luke kennard,ivica zubac,terance mann","coby white,zach lavine,garrett temple,patrick williams,wendell carter jr.,denzel valentine,daniel gafford,adam mokoka"
2021-01-15,13.42,0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,3.0,2.0,2.0,9.0,0.205,0.25,0.25,0.5,0.0,7.3,4.0,40.5,3.4,0.0,38.1,24.7,57.0,107.0,-13.4,"shai gilgeous-alexander,luguentz dort,george hill,darius bazley,isaiah roby,kenrich williams,mike muscala,theo maledon,hamidou diallo,aleksej pokusevski","coby white,zach lavine,patrick williams,lauri markkanen,wendell carter jr.,otto porter jr.,garrett temple,denzel valentine"
2021-01-17,19.47,0,7.0,10.0,0.7,0.0,1.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,15.0,13.0,0.689,0.7,0.1,0.2,6.2,9.1,7.9,28.7,4.7,8.0,8.4,26.0,126.0,89.0,13.2,"luka doncic,kristaps porzingis,josh green,wes iwundu,willie cauley-stein,trey burke,james johnson,tyrell terry,boban marjanovic,nate hinton,tyler bey","lauri markkanen,zach lavine,wendell carter jr.,coby white,patrick williams,garrett temple,otto porter jr.,ryan arcidiacono,daniel gafford"
2021-01-18,25.27,1,5.0,11.0,0.455,1.0,2.0,0.5,1.0,2.0,0.5,5.0,4.0,9.0,3.0,1.0,0.0,1.0,1.0,12.0,15.0,0.505,0.5,0.182,0.182,21.6,19.5,20.6,17.0,1.8,0.0,7.8,20.7,124.0,113.0,0.1,"eric gordon,p.j. tucker,victor oladipo,christian wood,david nwaba,jae'sean tate,demarcus cousins,mason jones","zach lavine,lauri markkanen,garrett temple,coby white,wendell carter jr.,denzel valentine,ryan arcidiacono,daniel gafford,adam mokoka"
