date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,25.55,0,5.0,13.0,0.385,0.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,5.0,0.0,0.0,1.0,2.0,5.0,10.0,2.0,0.372,0.385,0.231,0.077,4.5,16.7,10.8,0.0,0.0,3.2,13.0,25.4,64.0,108.0,-14.3,"joel embiid,ben simmons,seth curry,tobias harris,danny green,shake milton,furkan korkmaz,tyrese maxey,matisse thybulle","russell westbrook,bradley beal,deni avdija,ish smith,troy brown jr.,davis bertans,robin lopez,raul neto,moritz wagner"
2020-12-26,30.07,1,8.0,11.0,0.727,3.0,5.0,0.6,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,19.0,-3.0,0.864,0.864,0.455,0.0,0.0,17.0,8.2,4.8,0.0,0.0,0.0,14.5,162.0,121.0,4.7,"nikola vucevic,markelle fultz,aaron gordon,evan fournier,terrence ross,michael carter-williams,chuma okeke,cole anthony,khem birch","bradley beal,russell westbrook,deni avdija,ish smith,davis bertans,jerome robinson,robin lopez,troy brown jr.,raul neto"
2020-12-27,32.45,1,8.0,15.0,0.533,0.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,5.0,1.0,1.0,1.0,5.0,16.0,1.0,0.533,0.533,0.133,0.0,12.6,9.9,11.3,21.0,1.5,2.5,6.3,20.5,122.0,122.0,0.4,"markelle fultz,nikola vucevic,evan fournier,aaron gordon,terrence ross,michael carter-williams,khem birch,cole anthony,chuma okeke,gary clark","bradley beal,deni avdija,raul neto,troy brown jr.,davis bertans,ish smith,robin lopez,jerome robinson"
2020-12-29,33.53,1,5.0,9.0,0.556,1.0,2.0,0.5,2.0,5.0,0.4,3.0,3.0,6.0,2.0,0.0,2.0,4.0,5.0,13.0,-11.0,0.58,0.611,0.222,0.556,10.7,9.8,10.2,9.6,0.0,5.6,26.3,19.0,93.0,110.0,-5.5,"zach lavine,coby white,wendell carter jr.,patrick williams,lauri markkanen,otto porter jr.,garrett temple,daniel gafford,chandler hutchison","russell westbrook,bradley beal,deni avdija,davis bertans,ish smith,raul neto,robin lopez,troy brown jr.,anthony gill,garrison mathews"
2020-12-31,34.23,1,10.0,11.0,0.909,3.0,3.0,1.0,5.0,7.0,0.714,2.0,1.0,3.0,0.0,1.0,3.0,1.0,3.0,28.0,3.0,0.994,1.045,0.273,0.636,6.4,3.8,5.2,0.0,1.3,7.5,6.6,18.2,178.0,124.0,10.5,"coby white,zach lavine,otto porter jr.,wendell carter jr.,patrick williams,garrett temple,thaddeus young,daniel gafford,denzel valentine","russell westbrook,bradley beal,rui hachimura,deni avdija,raul neto,davis bertans,troy brown jr.,ish smith,moritz wagner,robin lopez"
2021-01-01,22.02,0,7.0,7.0,1.0,1.0,1.0,1.0,3.0,4.0,0.75,2.0,5.0,7.0,2.0,0.0,0.0,2.0,1.0,18.0,25.0,1.027,1.071,0.143,0.571,10.9,23.7,17.7,12.9,0.0,0.0,18.6,20.5,162.0,107.0,8.4,"malik beasley,d'angelo russell,ricky rubio,naz reid,jarrett culver,anthony edwards,jordan mclaughlin,jake layman,juancho hernangomez,jarred vanderbilt,jaden mcdaniels","bradley beal,deni avdija,raul neto,rui hachimura,jerome robinson,ish smith,robin lopez,davis bertans,troy brown jr.,garrison mathews,anthony gill"
2021-01-03,27.67,0,9.0,12.0,0.75,1.0,2.0,0.5,2.0,2.0,1.0,2.0,12.0,14.0,2.0,1.0,0.0,1.0,4.0,21.0,-1.0,0.815,0.792,0.167,0.167,6.1,48.4,24.3,12.7,1.6,0.0,7.2,19.1,152.0,109.0,9.8,"kyrie irving,kevin durant,joe harris,timothe luwawu-cabarrot,deandre jordan,caris levert,jarrett allen,landry shamet,jeff green,taurean prince","russell westbrook,bradley beal,rui hachimura,deni avdija,davis bertans,robin lopez,raul neto,jerome robinson,ish smith"
2021-01-06,33.92,0,4.0,6.0,0.667,0.0,2.0,0.0,3.0,3.0,1.0,2.0,4.0,6.0,1.0,0.0,0.0,0.0,4.0,11.0,-14.0,0.751,0.667,0.333,0.5,6.6,21.0,12.1,3.4,0.0,0.0,0.0,8.5,167.0,133.0,-3.5,"tobias harris,joel embiid,seth curry,ben simmons,danny green,shake milton,matisse thybulle,tyrese maxey","russell westbrook,bradley beal,rui hachimura,deni avdija,davis bertans,ish smith,robin lopez,raul neto,jerome robinson,anthony gill"
2021-01-08,29.52,0,3.0,7.0,0.429,0.0,1.0,0.0,1.0,2.0,0.5,2.0,6.0,8.0,2.0,1.0,1.0,0.0,2.0,7.0,-12.0,0.444,0.429,0.143,0.286,7.2,23.2,15.0,9.0,1.5,3.0,0.0,11.4,111.0,108.0,-1.4,"jaylen brown,marcus smart,jayson tatum,daniel theis,payton pritchard,javonte green","bradley beal,rui hachimura,russell westbrook,deni avdija,davis bertans,ish smith,moritz wagner,garrison mathews,robin lopez,raul neto"
2021-01-09,1.88,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,-11.7,"tyler herro,jimmy butler,duncan robinson,kelly olynyk,bam adebayo,goran dragic,andre iguodala,precious achiuwa,meyers leonard,kz okpala","deni avdija,rui hachimura,jerome robinson,raul neto,ish smith,garrison mathews,troy brown jr.,davis bertans,robin lopez,moritz wagner"
2022-01-12,11.5,1,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,-6.0,1.042,1.25,0.5,1.0,0.0,7.7,4.6,12.0,0.0,0.0,0.0,11.9,202.0,120.0,6.8,"gary harris,cole anthony,franz wagner,robin lopez,chuma okeke,terrence ross,admiral schofield,r.j. hampton,moritz wagner","kyle kuzma,spencer dinwiddie,kentavious caldwell-pope,corey kispert,daniel gafford,raul neto,montrezl harrell,deni avdija,davis bertans,rui hachimura"
2022-01-15,11.82,1,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.667,0.0,0.0,19.8,9.9,0.0,0.0,0.0,0.0,10.1,0.0,113.0,-17.1,"anfernee simons,robert covington,jusuf nurkic,nassir little,dennis smith jr.,cj elleby,trendon watford","kyle kuzma,spencer dinwiddie,kentavious caldwell-pope,corey kispert,daniel gafford,montrezl harrell,deni avdija,raul neto,rui hachimura,aaron holiday"
