date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,25.95,0,10.0,12.0,0.833,5.0,6.0,0.833,12.0,14.0,0.857,2.0,4.0,6.0,7.0,0.0,0.0,4.0,1.0,37.0,30.0,1.019,1.042,0.5,1.167,10.0,16.1,13.4,52.8,0.0,0.0,18.1,36.0,171.0,104.0,27.9,"patrick williams,coby white,lauri markkanen,wendell carter jr.,zach lavine,otto porter jr.,ryan arcidiacono,chandler hutchison,daniel gafford,adam mokoka","de'andre hunter,danilo gallinari,cam reddish,john collins,kevin huerter,bogdan bogdanovic,bruno fernando,brandon goodwin,nathan knight,skylar mays"
2020-12-26,35.38,0,10.0,24.0,0.417,1.0,7.0,0.143,15.0,17.0,0.882,2.0,1.0,3.0,9.0,0.0,0.0,2.0,1.0,36.0,12.0,0.572,0.438,0.292,0.708,5.4,2.7,4.1,50.0,0.0,0.0,6.0,37.6,129.0,115.0,8.0,"kyle anderson,ja morant,dillon brooks,grayson allen,jonas valanciunas,desmond bane,brandon clarke,tyus jones,john konchar,gorgui dieng","de'andre hunter,cam reddish,bogdan bogdanovic,john collins,kevin huerter,bruno fernando,brandon goodwin,nathan knight"
2020-12-28,32.92,1,6.0,13.0,0.462,2.0,6.0,0.333,15.0,15.0,1.0,0.0,3.0,3.0,6.0,0.0,0.0,3.0,2.0,29.0,0.0,0.74,0.538,0.462,1.154,0.0,8.1,4.7,28.0,0.0,0.0,13.3,30.2,143.0,129.0,1.6,"jerami grant,mason plumlee,saddiq bey,killian hayes,josh jackson,delon wright,isaiah stewart,svi mykhailiuk,sekou doumbouya","de'andre hunter,cam reddish,john collins,clint capela,bogdan bogdanovic,kevin huerter,bruno fernando"
2020-12-30,31.93,0,8.0,18.0,0.444,0.0,4.0,0.0,14.0,16.0,0.875,3.0,3.0,6.0,11.0,0.0,0.0,5.0,0.0,30.0,5.0,0.599,0.444,0.222,0.889,9.4,9.8,9.6,47.3,0.0,0.0,16.6,35.7,129.0,140.0,2.8,"kevin durant,kyrie irving,joe harris,timothe luwawu-cabarrot,deandre jordan,jarrett allen,caris levert,taurean prince,landry shamet,jeff green","de'andre hunter,cam reddish,john collins,clint capela,bogdan bogdanovic,kevin huerter,bruno fernando,danilo gallinari"
2021-01-01,32.45,0,7.0,21.0,0.333,3.0,8.0,0.375,4.0,4.0,1.0,2.0,3.0,5.0,7.0,1.0,1.0,3.0,2.0,21.0,11.0,0.461,0.405,0.381,0.19,6.6,9.2,8.0,31.7,1.5,3.0,11.6,35.2,102.0,100.0,1.7,"kevin durant,kyrie irving,joe harris,timothe luwawu-cabarrot,deandre jordan,caris levert,jarrett allen,landry shamet,taurean prince,jeff green,bruce brown,chris chiozza,reggie perry","cam reddish,de'andre hunter,clint capela,john collins,bogdan bogdanovic,kevin huerter,brandon goodwin,bruno fernando,nathan knight,skylar mays"
2021-01-02,34.1,1,6.0,16.0,0.375,2.0,5.0,0.4,2.0,4.0,0.5,1.0,3.0,4.0,10.0,1.0,0.0,6.0,2.0,16.0,3.0,0.45,0.438,0.313,0.25,3.1,8.8,6.0,53.0,1.5,0.0,25.3,29.5,90.0,105.0,-2.5,"larry nance jr.,collin sexton,darius garland,andre drummond,cedi osman,javale mcgee,dean wade","john collins,de'andre hunter,clint capela,cam reddish,kevin huerter,bogdan bogdanovic,brandon goodwin,bruno fernando"
2021-01-04,39.62,1,9.0,22.0,0.409,1.0,6.0,0.167,12.0,15.0,0.8,1.0,1.0,2.0,14.0,1.0,0.0,8.0,3.0,31.0,7.0,0.542,0.432,0.273,0.682,2.8,3.0,2.9,58.3,1.2,0.0,21.9,40.6,104.0,118.0,1.5,"rj barrett,julius randle,elfrid payton,mitchell robinson,reggie bullock,austin rivers,immanuel quickley,kevin knox","de'andre hunter,john collins,clint capela,cam reddish,kevin huerter,bogdan bogdanovic,brandon goodwin"
2021-01-06,35.07,1,2.0,9.0,0.222,0.0,3.0,0.0,3.0,3.0,1.0,0.0,5.0,5.0,3.0,1.0,0.0,7.0,4.0,7.0,-15.0,0.339,0.222,0.333,0.333,0.0,12.9,6.5,12.3,1.4,0.0,40.4,20.3,48.0,103.0,-16.0,"gordon hayward,devonte' graham,p.j. washington,terry rozier,bismack biyombo,lamelo ball,miles bridges,caleb martin,cody martin","de'andre hunter,john collins,cam reddish,clint capela,kevin huerter,brandon goodwin,bogdan bogdanovic,nathan knight"
2021-01-09,37.13,0,5.0,19.0,0.263,0.0,5.0,0.0,5.0,5.0,1.0,2.0,0.0,2.0,10.0,0.0,0.0,5.0,4.0,15.0,0.0,0.354,0.263,0.263,0.263,5.0,0.0,2.9,46.9,0.0,0.0,19.1,29.4,87.0,127.0,-12.2,"p.j. washington,gordon hayward,terry rozier,devonte' graham,bismack biyombo,lamelo ball,miles bridges,caleb martin,cody martin","de'andre hunter,john collins,clint capela,bogdan bogdanovic,cam reddish,kevin huerter,brandon goodwin,nathan knight"
2021-01-11,25.48,1,9.0,19.0,0.474,3.0,7.0,0.429,5.0,6.0,0.833,0.0,3.0,3.0,8.0,1.0,0.0,0.0,1.0,26.0,20.0,0.601,0.553,0.368,0.316,0.0,10.7,5.2,75.2,1.9,0.0,0.0,34.3,141.0,97.0,20.4,"dakota mathias,tyrese maxey,danny green,joel embiid,isaiah joe,paul reed,tony bradley","clint capela,john collins,cam reddish,de'andre hunter,kevin huerter,brandon goodwin,bruno fernando,nathan knight,skylar mays"
2021-01-15,24.03,0,1.0,11.0,0.091,0.0,2.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,7.0,1.0,1.0,2.0,0.0,4.0,-17.0,0.168,0.091,0.182,0.182,0.0,17.8,8.5,38.8,1.9,4.2,14.4,24.4,53.0,108.0,-6.3,"royce o'neale,donovan mitchell,rudy gobert,mike conley,bojan bogdanovic,jordan clarkson,georges niang,miye oni,derrick favors,udoka azubuike,elijah hughes,shaquille harrison","de'andre hunter,cam reddish,clint capela,john collins,kevin huerter,brandon goodwin,onyeka okongwu,bruno fernando"
2021-01-16,38.87,0,7.0,23.0,0.304,1.0,9.0,0.111,11.0,12.0,0.917,0.0,7.0,7.0,11.0,0.0,0.0,5.0,2.0,26.0,-11.0,0.46,0.326,0.391,0.522,0.0,14.9,8.4,46.3,0.0,0.0,15.0,36.6,93.0,115.0,-1.9,"damian lillard,derrick jones jr.,robert covington,cj mccollum,gary trent jr.,anfernee simons","clint capela,kevin huerter,de'andre hunter,john collins,brandon goodwin"
2021-01-18,32.27,1,3.0,8.0,0.375,2.0,5.0,0.4,12.0,13.0,0.923,0.0,8.0,8.0,13.0,3.0,0.0,6.0,5.0,20.0,12.0,0.729,0.5,0.625,1.625,0.0,23.8,13.7,59.4,4.3,0.0,30.4,25.7,124.0,90.0,7.0,"malik beasley,d'angelo russell,jarred vanderbilt,naz reid,josh okogie,anthony edwards,jarrett culver,jordan mclaughlin,jaden mcdaniels","kevin huerter,clint capela,de'andre hunter,john collins,brandon goodwin"
2021-01-20,44.02,1,11.0,26.0,0.423,3.0,5.0,0.6,13.0,19.0,0.684,2.0,2.0,4.0,10.0,2.0,1.0,2.0,1.0,38.0,7.0,0.553,0.481,0.192,0.731,4.2,5.1,4.6,39.2,2.3,1.8,5.5,33.8,131.0,108.0,12.7,"jerami grant,blake griffin,mason plumlee,delon wright,derrick rose,josh jackson,isaiah stewart,svi mykhailiuk,jahlil okafor,saddiq bey,sekou doumbouya","john collins,kevin huerter,clint capela,onyeka okongwu,brandon goodwin,nathan knight"
2021-01-22,30.97,0,14.0,22.0,0.636,8.0,12.0,0.667,7.0,7.0,1.0,0.0,4.0,4.0,5.0,0.0,0.0,7.0,0.0,43.0,14.0,0.857,0.818,0.545,0.318,0.0,11.9,6.5,47.5,0.0,0.0,21.8,44.3,132.0,108.0,17.0,"jarred vanderbilt,malik beasley,naz reid,d'angelo russell,josh okogie,anthony edwards,jaden mcdaniels,jarrett culver,ricky rubio,jordan mclaughlin,jake layman,jaylen nowell","kevin huerter,clint capela,john collins,de'andre hunter,cam reddish,danilo gallinari,brandon goodwin,onyeka okongwu,bruno fernando"
