date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-03-19,6.17,1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,13.9,52.0,144.0,-10.0,"caris levert,malcolm brogdon,domantas sabonis,justin holiday,myles turner,t.j. mcconnell,goga bitadze,jeremy lamb,doug mcdermott,edmond sumner,aaron holiday,cassius stanley","kelly olynyk,jimmy butler,duncan robinson,bam adebayo,kendrick nunn,tyler herro,goran dragic,kz okpala,gabe vincent,chris silva,precious achiuwa,max strus"
2021-03-21,19.2,1,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,2.0,0.0,2.0,5.0,-18.0,0.417,0.417,0.667,0.0,0.0,21.7,10.9,0.0,2.7,10.4,0.0,13.7,87.0,96.0,1.0,"justin holiday,malcolm brogdon,domantas sabonis,caris levert,myles turner,t.j. mcconnell,doug mcdermott,edmond sumner,jeremy lamb,goga bitadze","jimmy butler,duncan robinson,bam adebayo,kelly olynyk,kendrick nunn,tyler herro,andre iguodala,gabe vincent,precious achiuwa"
2021-03-23,23.48,1,2.0,9.0,0.222,1.0,5.0,0.2,2.0,2.0,1.0,0.0,6.0,6.0,1.0,0.0,0.0,1.0,1.0,7.0,-8.0,0.354,0.278,0.556,0.222,0.0,29.9,13.8,6.4,0.0,0.0,9.2,20.9,82.0,123.0,-10.9,"deandre ayton,mikal bridges,chris paul,devin booker,jae crowder,cameron payne,torrey craig,cameron johnson,langston galloway,dario saric,jevon carter,ty-shon alexander,jalen smith","kendrick nunn,bam adebayo,duncan robinson,jimmy butler,kelly olynyk,tyler herro,andre iguodala,gabe vincent,precious achiuwa,max strus"
2021-03-25,33.23,1,3.0,7.0,0.429,1.0,3.0,0.333,2.0,2.0,1.0,1.0,4.0,5.0,1.0,0.0,1.0,1.0,2.0,9.0,-23.0,0.571,0.5,0.429,0.286,4.1,13.1,9.1,3.4,0.0,3.1,11.3,12.7,111.0,132.0,-7.6,"damian lillard,cj mccollum,robert covington,derrick jones jr.,nassir little,anfernee simons","kendrick nunn,bam adebayo,gabe vincent,duncan robinson,tyler herro,max strus,andre iguodala,precious achiuwa"
2021-03-26,30.97,0,5.0,12.0,0.417,2.0,7.0,0.286,2.0,3.0,0.667,2.0,7.0,9.0,5.0,2.0,2.0,1.0,2.0,14.0,16.0,0.526,0.5,0.583,0.25,6.9,30.1,17.2,24.0,3.3,8.6,7.0,21.0,117.0,106.0,7.6,"gordon hayward,terry rozier,devonte' graham,bismack biyombo,p.j. washington,miles bridges,malik monk,cody martin,cody zeller","jimmy butler,bam adebayo,duncan robinson,kendrick nunn,tyler herro,andre iguodala,gabe vincent,precious achiuwa,max strus"
2021-03-29,23.58,0,1.0,7.0,0.143,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,15.0,0.143,0.143,0.429,0.0,4.3,14.9,9.3,5.8,2.2,0.0,0.0,13.5,51.0,96.0,-7.8,"julius randle,rj barrett,nerlens noel,reggie bullock,elfrid payton,alec burks,derrick rose,taj gibson,immanuel quickley,obi toppin","bam adebayo,jimmy butler,duncan robinson,goran dragic,tyler herro,andre iguodala,gabe vincent,precious achiuwa"
2021-03-31,25.62,0,1.0,7.0,0.143,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,-1.0,0.127,0.143,0.429,0.286,0.0,12.5,6.2,6.2,2.1,0.0,11.3,16.4,30.0,97.0,-12.7,"domantas sabonis,caris levert,malcolm brogdon,myles turner,justin holiday,t.j. mcconnell,doug mcdermott,edmond sumner,aaron holiday,goga bitadze","jimmy butler,bam adebayo,duncan robinson,goran dragic,tyler herro,andre iguodala,gabe vincent,precious achiuwa"
2021-04-01,26.27,1,3.0,6.0,0.5,2.0,4.0,0.5,2.0,2.0,1.0,0.0,4.0,4.0,1.0,0.0,2.0,0.0,0.0,10.0,6.0,0.727,0.667,0.667,0.333,0.0,16.6,8.8,5.5,0.0,8.1,0.0,11.8,141.0,112.0,4.0,"stephen curry,draymond green,andrew wiggins,kelly oubre jr.,james wiseman,damion lee,kevon looney,kent bazemore,jordan poole,mychal mulder,nico mannion,juan toscano-anderson","duncan robinson,jimmy butler,bam adebayo,victor oladipo,tyler herro,andre iguodala,gabe vincent"
2021-04-03,32.42,1,5.0,9.0,0.556,4.0,8.0,0.5,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,15.0,11.0,0.759,0.778,0.889,0.222,0.0,7.8,4.1,0.0,0.0,0.0,0.0,14.6,131.0,113.0,-0.7,"darius garland,isaac okoro,collin sexton,dean wade,kevin love,taurean prince,isaiah hartenstein,matthew dellavedova,cedi osman","jimmy butler,bam adebayo,victor oladipo,duncan robinson,goran dragic,tyler herro,precious achiuwa,gabe vincent,max strus"
2021-04-06,26.3,1,0.0,5.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0,4.0,2.0,-6.0,0.17,0.0,0.4,0.4,4.6,9.9,7.1,16.6,1.9,0.0,14.5,12.3,76.0,133.0,-13.1,"dillon brooks,kyle anderson,ja morant,jonas valanciunas,grayson allen,desmond bane,john konchar,xavier tillman sr.,tyus jones,killian tillie,sean mcdermott","jimmy butler,bam adebayo,victor oladipo,duncan robinson,tyler herro,goran dragic,andre iguodala,precious achiuwa,max strus,gabe vincent"
