date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,10.85,1,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,6.0,3.0,0.5,0.5,0.167,0.0,0.0,21.1,10.2,31.9,0.0,0.0,14.3,26.7,96.0,108.0,-2.5,"russell westbrook,bradley beal,deni avdija,thomas bryant,ish smith,troy brown jr.,davis bertans,robin lopez,raul neto,moritz wagner","joel embiid,ben simmons,seth curry,tobias harris,danny green,shake milton,furkan korkmaz,matisse thybulle"
2020-12-26,8.82,0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,0.25,0.25,0.0,0.0,13.0,11.3,12.1,45.9,0.0,0.0,20.0,24.8,83.0,102.0,-4.2,"rj barrett,julius randle,reggie bullock,mitchell robinson,elfrid payton,alec burks,kevin knox,dennis smith jr.,nerlens noel,frank ntilikina,theo pinson","ben simmons,joel embiid,tobias harris,seth curry,danny green,shake milton,furkan korkmaz,matisse thybulle"
2020-12-27,21.67,0,3.0,8.0,0.375,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,-14.0,0.375,0.375,0.25,0.0,0.0,0.0,0.0,8.4,2.2,0.0,11.1,18.2,71.0,121.0,-10.7,"larry nance jr.,collin sexton,darius garland,andre drummond,kevin love,cedi osman,javale mcgee,dean wade,marques bolden,lamar stevens","ben simmons,tobias harris,seth curry,danny green,shake milton,tony bradley,furkan korkmaz,matisse thybulle,dakota mathias,isaiah joe"
2020-12-29,8.02,1,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,18.7,0.0,0.0,0.0,15.4,18.0,104.0,-15.4,"kyle lowry,fred vanvleet,og anunoby,pascal siakam,stanley johnson,alex len,norman powell,chris boucher","joel embiid,tobias harris,ben simmons,seth curry,danny green,shake milton,matisse thybulle"
2020-12-31,21.0,0,5.0,9.0,0.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,10.0,-1.0,0.556,0.556,0.0,0.0,0.0,8.0,4.5,0.0,2.2,0.0,10.0,20.5,94.0,93.0,-5.7,"markelle fultz,nikola vucevic,aaron gordon,evan fournier,cole anthony,michael carter-williams,khem birch,karim mane,chuma okeke,gary clark,jordan bone","joel embiid,tobias harris,seth curry,ben simmons,danny green,shake milton,matisse thybulle,isaiah joe,dakota mathias"
2021-01-02,17.92,1,4.0,8.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,9.0,2.0,0.563,0.563,0.25,0.0,0.0,10.3,6.3,14.8,2.7,0.0,11.1,21.8,106.0,114.0,-3.5,"gordon hayward,terry rozier,bismack biyombo,devonte' graham,p.j. washington,lamelo ball,miles bridges,caleb martin,jalen mcdaniels","tobias harris,joel embiid,ben simmons,seth curry,danny green,shake milton,matisse thybulle"
2021-01-04,21.22,1,4.0,10.0,0.4,2.0,3.0,0.667,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,11.0,-3.0,0.527,0.5,0.3,0.1,0.0,9.2,4.4,12.2,2.2,0.0,0.0,20.5,115.0,101.0,0.7,"gordon hayward,terry rozier,p.j. washington,devonte' graham,bismack biyombo,lamelo ball,miles bridges,caleb martin,jalen mcdaniels,malik monk,nick richards","ben simmons,tobias harris,seth curry,joel embiid,danny green,shake milton,matisse thybulle,isaiah joe,dakota mathias,paul reed"
2021-01-06,10.98,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,-9.0,1.0,1.0,0.0,0.0,0.0,20.3,12.5,9.6,0.0,0.0,0.0,3.9,213.0,128.0,-2.6,"russell westbrook,bradley beal,thomas bryant,rui hachimura,deni avdija,davis bertans,ish smith,robin lopez,raul neto,jerome robinson,anthony gill","tobias harris,joel embiid,seth curry,ben simmons,danny green,shake milton,matisse thybulle"
2021-01-07,20.92,0,7.0,12.0,0.583,2.0,4.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,16.0,7.0,0.667,0.667,0.333,0.0,0.0,12.7,7.2,18.4,2.1,3.8,0.0,23.8,128.0,109.0,12.0,"caris levert,jeff green,jarrett allen,taurean prince,bruce brown,joe harris,timothe luwawu-cabarrot,landry shamet,deandre jordan,chris chiozza","shake milton,tobias harris,danny green,ben simmons,joel embiid,matisse thybulle,dakota mathias,isaiah joe"
2021-01-09,43.75,1,18.0,33.0,0.545,3.0,8.0,0.375,0.0,0.0,0.0,1.0,6.0,7.0,6.0,2.0,0.0,2.0,3.0,39.0,-17.0,0.591,0.591,0.242,0.0,2.2,15.3,8.3,28.3,2.3,0.0,5.7,31.1,130.0,118.0,10.4,"nikola jokic,jamal murray,gary harris,will barton,monte morris,jamychal green,pj dozier,facundo campazzo,isaiah hartenstein,r.j. hampton,zeke nnaji,bol bol,vlatko cancar","isaiah joe,dakota mathias,danny green,paul reed,tony bradley"
