date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,13.58,1,3.0,5.0,0.6,0.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,7.0,-20.0,0.595,0.6,0.2,0.4,0.0,7.9,3.9,9.2,0.0,0.0,25.4,24.4,88.0,128.0,-10.6,"demar derozan,lonnie walker iv,keldon johnson,dejounte murray,rudy gay,devin vassell,patty mills,jakob poeltl","ja morant,dillon brooks,jonas valanciunas,kyle anderson,grayson allen,brandon clarke,de'anthony melton,gorgui dieng,desmond bane"
2020-12-26,15.98,1,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.5,0.0,0.0,6.0,3.0,24.3,0.0,5.7,0.0,10.4,41.0,120.0,-8.9,"trae young,de'andre hunter,cam reddish,bogdan bogdanovic,john collins,kevin huerter,bruno fernando,brandon goodwin,nathan knight","kyle anderson,ja morant,dillon brooks,grayson allen,jonas valanciunas,desmond bane,brandon clarke,john konchar,gorgui dieng"
2020-12-28,34.72,0,4.0,12.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,2.0,0.0,1.0,2.0,9.0,-8.0,0.362,0.333,0.167,0.083,2.9,11.5,7.2,17.0,2.8,0.0,7.4,15.8,92.0,102.0,-3.5,"joe harris,timothe luwawu-cabarrot,caris levert,deandre jordan,taurean prince,chris chiozza,landry shamet,jeff green,jarrett allen","jonas valanciunas,kyle anderson,dillon brooks,grayson allen,ja morant,brandon clarke,desmond bane,john konchar,gorgui dieng"
2020-12-30,22.82,0,3.0,7.0,0.429,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,6.0,-24.0,0.429,0.429,0.286,0.0,0.0,10.0,4.8,12.5,4.0,4.0,12.5,13.4,89.0,114.0,-1.2,"jaylen brown,marcus smart,jayson tatum,daniel theis,robert williams,payton pritchard,grant williams,aaron nesmith,carsen edwards,tremont waters","kyle anderson,dillon brooks,jonas valanciunas,grayson allen,desmond bane,brandon clarke,gorgui dieng,john konchar,sean mcdermott"
2021-01-01,28.98,0,3.0,7.0,0.429,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,2.0,0.0,1.0,0.0,6.0,25.0,0.429,0.429,0.286,0.0,0.0,3.5,1.8,52.3,3.3,0.0,12.5,12.1,129.0,96.0,4.2,"bismack biyombo,terry rozier,gordon hayward,devonte' graham,p.j. washington,lamelo ball,miles bridges,caleb martin,jalen mcdaniels,cody martin,nick richards","brandon clarke,kyle anderson,dillon brooks,jonas valanciunas,desmond bane,john konchar,gorgui dieng,sean mcdermott"
2021-01-03,31.6,1,6.0,11.0,0.545,2.0,5.0,0.4,0.0,0.0,0.0,0.0,5.0,5.0,3.0,1.0,0.0,0.0,1.0,14.0,-18.0,0.636,0.636,0.455,0.0,0.0,15.8,7.7,15.2,1.6,0.0,0.0,15.3,137.0,115.0,4.2,"anthony davis,lebron james,dennis schroder,kyle kuzma,wesley matthews,talen horton-tucker,montrezl harrell,markieff morris,alfonzo mckinnie","kyle anderson,dillon brooks,brandon clarke,jonas valanciunas,desmond bane,gorgui dieng,xavier tillman sr.,john konchar,grayson allen,sean mcdermott"
2021-01-05,32.2,1,3.0,8.0,0.375,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,8.0,-17.0,0.45,0.438,0.5,0.25,0.0,0.0,0.0,37.8,3.0,2.7,10.1,13.9,105.0,99.0,4.1,"dennis schroder,anthony davis,lebron james,kyle kuzma,wesley matthews,talen horton-tucker,montrezl harrell,markieff morris","dillon brooks,kyle anderson,brandon clarke,jonas valanciunas,desmond bane,gorgui dieng,xavier tillman sr.,de'anthony melton,grayson allen"
2021-01-07,26.78,1,4.0,9.0,0.444,1.0,3.0,0.333,0.0,0.0,0.0,1.0,3.0,4.0,6.0,0.0,0.0,2.0,0.0,9.0,-11.0,0.5,0.5,0.333,0.0,4.4,12.2,8.4,37.3,0.0,0.0,18.2,18.9,105.0,112.0,-4.4,"isaac okoro,cedi osman,andre drummond,larry nance jr.,lamar stevens,javale mcgee,dean wade","brandon clarke,dillon brooks,kyle anderson,jonas valanciunas,desmond bane,de'anthony melton,xavier tillman sr.,gorgui dieng,grayson allen"
2021-01-08,30.78,1,5.0,12.0,0.417,1.0,4.0,0.25,0.0,0.0,0.0,0.0,4.0,4.0,10.0,4.0,0.0,1.0,1.0,11.0,1.0,0.458,0.458,0.333,0.0,0.0,16.4,7.1,41.9,6.0,0.0,7.7,17.5,116.0,101.0,5.3,"caris levert,jeff green,jarrett allen,taurean prince,bruce brown,joe harris,landry shamet,timothe luwawu-cabarrot,deandre jordan,chris chiozza","brandon clarke,dillon brooks,kyle anderson,jonas valanciunas,grayson allen,de'anthony melton,desmond bane,xavier tillman sr.,gorgui dieng"
2021-01-11,31.62,0,5.0,9.0,0.556,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,5.0,7.0,3.0,0.0,2.0,1.0,13.0,18.0,0.658,0.611,0.111,0.222,4.1,14.1,9.5,32.8,4.9,0.0,16.8,17.6,124.0,94.0,6.3,"isaac okoro,larry nance jr.,andre drummond,cedi osman,javale mcgee,dean wade,lamar stevens","dillon brooks,kyle anderson,jonas valanciunas,brandon clarke,desmond bane,de'anthony melton,xavier tillman sr.,grayson allen"
