date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-22,11.1,1,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,7.6,0.0,109.0,-4.9,"paul george,kawhi leonard,nicolas batum,patrick beverley,serge ibaka,ivica zubac,luke kennard,reggie jackson,terance mann,amir coffey,mfiondu kabengele","anthony davis,lebron james,dennis schroder,kentavious caldwell-pope,montrezl harrell,kyle kuzma,markieff morris,alex caruso,talen horton-tucker"
2020-12-25,16.42,1,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,-3.0,0.333,0.333,0.667,0.0,0.0,7.5,3.7,0.0,3.0,0.0,0.0,7.5,84.0,116.0,-6.9,"luka doncic,dorian finney-smith,tim hardaway jr.,josh richardson,dwight powell,trey burke,maxi kleber,willie cauley-stein,jalen brunson,james johnson,boban marjanovic,wes iwundu,josh green,tyrell terry","lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,montrezl harrell,kyle kuzma,markieff morris,alex caruso,talen horton-tucker,alfonzo mckinnie"
2020-12-27,17.88,1,2.0,4.0,0.5,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,16.0,0.45,0.5,0.5,0.25,0.0,4.6,2.9,12.0,0.0,3.9,18.4,12.7,87.0,93.0,-4.2,"naz reid,malik beasley,d'angelo russell,jake layman,josh okogie,jarrett culver,anthony edwards,ricky rubio,jordan mclaughlin,jarred vanderbilt,juancho hernangomez,jaden mcdaniels","kyle kuzma,lebron james,dennis schroder,kentavious caldwell-pope,talen horton-tucker,montrezl harrell,markieff morris,alex caruso,alfonzo mckinnie,kostas antetokounmpo"
2020-12-28,15.32,1,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,-16.0,0.333,0.333,0.667,0.0,0.0,7.5,3.6,24.8,0.0,0.0,0.0,8.6,104.0,122.0,-1.9,"robert covington,cj mccollum,derrick jones jr.,damian lillard,jusuf nurkic,gary trent jr.,anfernee simons","anthony davis,dennis schroder,lebron james,kentavious caldwell-pope,montrezl harrell,kyle kuzma,talen horton-tucker,markieff morris"
2020-12-30,22.38,0,6.0,6.0,1.0,6.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,18.0,8.0,1.5,1.5,1.0,0.0,5.5,4.6,5.0,0.0,0.0,0.0,0.0,11.9,290.0,113.0,21.0,"demar derozan,dejounte murray,lonnie walker iv,keldon johnson,jakob poeltl,rudy gay,drew eubanks,patty mills,devin vassell,tre jones,keita bates-diop,luka samanic","lebron james,dennis schroder,anthony davis,kentavious caldwell-pope,kyle kuzma,montrezl harrell,markieff morris,alfonzo mckinnie"
2021-01-01,25.25,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,3.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,7.6,3.7,13.9,0.0,3.7,0.0,3.1,77.0,107.0,-6.3,"demar derozan,keldon johnson,dejounte murray,lonnie walker iv,jakob poeltl,patty mills,rudy gay,drew eubanks,derrick white","lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,kyle kuzma,montrezl harrell,talen horton-tucker,markieff morris"
2021-01-03,27.25,0,5.0,7.0,0.714,4.0,6.0,0.667,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,14.0,3.0,1.0,1.0,0.857,0.0,3.7,0.0,1.8,5.5,3.8,0.0,0.0,11.5,193.0,105.0,13.1,"kyle anderson,tyus jones,dillon brooks,brandon clarke,jonas valanciunas,desmond bane,gorgui dieng,xavier tillman sr.,john konchar,grayson allen,sean mcdermott","anthony davis,lebron james,dennis schroder,kyle kuzma,talen horton-tucker,montrezl harrell,markieff morris,alfonzo mckinnie"
2021-01-05,29.77,0,1.0,4.0,0.25,1.0,4.0,0.25,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,-8.0,0.45,0.375,1.0,0.25,3.8,6.7,5.4,4.4,0.0,2.6,0.0,6.6,113.0,98.0,-0.8,"tyus jones,dillon brooks,kyle anderson,brandon clarke,jonas valanciunas,desmond bane,gorgui dieng,xavier tillman sr.,de'anthony melton,grayson allen","dennis schroder,anthony davis,lebron james,kyle kuzma,talen horton-tucker,montrezl harrell,markieff morris"
2021-01-07,21.52,1,1.0,6.0,0.167,1.0,5.0,0.2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.25,0.25,0.833,0.0,0.0,5.0,2.5,0.0,0.0,0.0,0.0,12.4,55.0,125.0,-10.2,"demar derozan,dejounte murray,keldon johnson,lonnie walker iv,patty mills,rudy gay,jakob poeltl,devin vassell,keita bates-diop,tre jones,trey lyles,luka samanic","lebron james,anthony davis,kyle kuzma,dennis schroder,talen horton-tucker,alex caruso,montrezl harrell,markieff morris,alfonzo mckinnie"
2021-01-08,33.92,1,4.0,8.0,0.5,4.0,8.0,0.5,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,14.0,-6.0,0.788,0.75,1.0,0.25,3.4,3.5,3.4,4.0,0.0,2.2,0.0,11.6,166.0,122.0,3.7,"zach lavine,patrick williams,coby white,wendell carter jr.,otto porter jr.,thaddeus young,garrett temple,denzel valentine,daniel gafford,adam mokoka","dennis schroder,lebron james,markieff morris,montrezl harrell,talen horton-tucker,kyle kuzma,alex caruso"
