date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-12-27,12.0,1,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,0.5,0.0,0.0,0.0,11.4,4.3,12.1,4.0,0.0,0.0,6.7,122.0,121.0,-3.5,"james harden,patty mills,nic claxton,deandre' bembry,bruce brown,james johnson,blake griffin,langston galloway,jevon carter,wenyen gabriel,shaquille harrison","marcus morris,terance mann,luke kennard,ivica zubac,brandon boston jr.,amir coffey,keon johnson,justise winslow,serge ibaka"
2021-12-29,10.67,0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.0,0.0,0.0,0.25,0.0,0.0,22.1,13.6,0.0,0.0,0.0,0.0,17.6,0.0,89.0,-20.8,"jaylen brown,al horford,payton pritchard,robert williams,romeo langford,josh richardson,grant williams,brodric thomas,sam hauser","marcus morris,terance mann,luke kennard,ivica zubac,amir coffey,justise winslow,serge ibaka,keon johnson"
2022-01-01,18.48,0,4.0,11.0,0.364,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,8.0,-12.0,0.364,0.364,0.273,0.0,0.0,5.2,2.7,8.2,0.0,0.0,15.4,30.8,64.0,123.0,-19.8,"james harden,kevin durant,patty mills,bruce brown,james johnson,deandre' bembry,nic claxton,blake griffin","terance mann,reggie jackson,amir coffey,serge ibaka,justise winslow,keon johnson,wenyen gabriel"
2022-01-03,26.12,1,6.0,13.0,0.462,1.0,4.0,0.25,0.0,0.0,0.0,1.0,3.0,4.0,4.0,4.0,1.0,0.0,1.0,13.0,-1.0,0.5,0.5,0.308,0.0,5.6,14.5,10.4,26.3,7.4,3.8,0.0,22.7,114.0,110.0,7.5,"anthony edwards,jarred vanderbilt,naz reid,patrick beverley,malik beasley,jaden mcdaniels,jaylen nowell,taurean prince,nathan knight,josh okogie,jordan mclaughlin,leandro bolmaro","terance mann,marcus morris,reggie jackson,serge ibaka,amir coffey,justise winslow,keon johnson,wenyen gabriel,jay scrubb"
2022-01-09,1.53,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,-8.7,"onyeka okongwu,kevin huerter,trae young,john collins,bogdan bogdanovic,timothe luwawu-cabarrot,danilo gallinari,delon wright,cam reddish,jalen johnson,skylar mays","amir coffey,nicolas batum,marcus morris,ivica zubac,reggie jackson,terance mann,serge ibaka,brandon boston jr.,wenyen gabriel,keon johnson,jay scrubb"
2022-01-13,14.62,0,3.0,4.0,0.75,2.0,2.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,10.0,4.0,0.94,1.0,0.5,0.75,0.0,0.0,0.0,62.1,0.0,0.0,15.8,19.8,162.0,125.0,13.4,"josh hart,brandon ingram,devonte' graham,herbert jones,jonas valanciunas,nickeil alexander-walker,jaxson hayes,jose alvarado,garrett temple,gary clark,naji marshall,trey murphy iii","amir coffey,reggie jackson,nicolas batum,marcus morris,ivica zubac,terance mann,brandon boston jr.,jay scrubb,serge ibaka,wenyen gabriel"
2022-04-01,18.72,0,3.0,5.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,1.0,0.0,3.0,7.0,6.0,0.7,0.7,0.2,0.0,7.8,6.3,6.9,21.2,0.0,3.7,0.0,11.5,174.0,122.0,1.4,"jordan nwora,jevon carter,serge ibaka,bobby portis,pat connaughton,thanasis antetokounmpo,lindell wigginton,sandro mamukelashvili,george hill","robert covington,amir coffey,luke kennard,terance mann,ivica zubac,isaiah hartenstein"
2022-04-03,2.53,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.2,0.0,0.0,0.0,0.0,247.0,121.0,15.7,"cj mccollum,brandon ingram,herbert jones,jonas valanciunas,jaxson hayes,larry nance jr.,devonte' graham,trey murphy iii,naji marshall,jose alvarado,gary clark","reggie jackson,paul george,marcus morris,ivica zubac,nicolas batum,terance mann,luke kennard,isaiah hartenstein,robert covington,amir coffey"
2022-04-06,6.7,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,-17.0,0.266,0.0,0.0,2.0,0.0,0.0,0.0,21.7,7.0,0.0,34.7,18.7,54.0,102.0,-9.0,"cameron johnson,landry shamet,mikal bridges,cameron payne,javale mcgee,bismack biyombo,ish wainright,torrey craig,aaron holiday,elfrid payton","reggie jackson,paul george,marcus morris,ivica zubac,nicolas batum,terance mann,norman powell,isaiah hartenstein,robert covington,amir coffey"
2022-04-10,26.0,1,8.0,11.0,0.727,1.0,3.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,7.0,1.0,1.0,2.0,1.0,17.0,27.0,0.773,0.773,0.273,0.0,0.0,9.7,5.7,32.9,1.9,2.9,15.4,21.4,144.0,91.0,9.0,"zavier simpson,vit krejci,isaiah roby,melvin frazier","amir coffey,luke kennard,terance mann,ivica zubac,robert covington,brandon boston jr.,isaiah hartenstein"
