date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2022-02-04,13.35,1,4.0,7.0,0.571,1.0,1.0,1.0,1.0,2.0,0.5,4.0,3.0,7.0,3.0,2.0,0.0,2.0,2.0,10.0,10.0,0.635,0.643,0.143,0.286,38.9,25.7,31.9,29.5,7.3,0.0,20.2,32.4,128.0,96.0,9.6,"christian wood,jae'sean tate,jalen green,eric gordon,kevin porter jr.,josh christopher,alperen sengun,kenyon martin jr.,garrison mathews,armoni brooks,david nwaba","dejounte murray,keldon johnson,jakob poeltl,derrick white,doug mcdermott,devin vassell,joshua primo,keita bates-diop,tre jones,juancho hernangomez"
2022-02-09,17.93,0,2.0,6.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,3.0,4.0,7.0,3.0,1.0,0.0,2.0,4.0,5.0,-1.0,0.363,0.333,0.167,0.333,14.3,26.1,19.3,24.6,2.8,0.0,22.5,20.3,82.0,105.0,-3.8,"evan mobley,jarrett allen,darius garland,isaac okoro,dean wade,caris levert,kevin love,cedi osman,brandon goodwin,lamar stevens,dylan windler","dejounte murray,keldon johnson,derrick white,jakob poeltl,doug mcdermott,devin vassell,joshua primo,lonnie walker iv,keita bates-diop,drew eubanks,jock landale"
2022-02-11,16.5,0,2.0,6.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,1.0,1.0,5.0,-15.0,0.417,0.417,0.167,0.0,0.0,22.0,12.9,13.2,0.0,0.0,14.3,18.0,83.0,118.0,-8.8,"trae young,kevin huerter,de'andre hunter,clint capela,john collins,bogdan bogdanovic,danilo gallinari,onyeka okongwu,delon wright,gorgui dieng,timothe luwawu-cabarrot,kevin knox,skylar mays","keldon johnson,dejounte murray,devin vassell,jakob poeltl,doug mcdermott,joshua primo,tre jones,lonnie walker iv,keita bates-diop,jock landale,devontae cacok,joe wieskamp"
2022-02-14,17.8,0,4.0,6.0,0.667,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,9.0,-6.0,0.75,0.75,0.5,0.0,0.0,13.8,6.3,16.2,2.7,4.2,0.0,14.9,145.0,114.0,7.5,"ayo dosunmu,nikola vucevic,demar derozan,javonte green,coby white,troy brown jr.,derrick jones jr.,tony bradley","dejounte murray,keldon johnson,jakob poeltl,doug mcdermott,devin vassell,lonnie walker iv,joshua primo,keita bates-diop,tre jones"
2022-02-16,16.2,0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,0.0,1.0,3.0,2.0,0.0,9.0,0.0,0.0,0.5,0.0,6.0,25.5,16.6,6.9,0.0,4.1,60.0,12.3,23.0,98.0,-16.5,"josh giddey,darius bazley,tre mann,aaron wiggins,isaiah roby,aleksej pokusevski,theo maledon,derrick favors,vit krejci,lindy waters iii","dejounte murray,keldon johnson,devin vassell,jakob poeltl,doug mcdermott,lonnie walker iv,josh richardson,joshua primo,keita bates-diop"
2022-02-25,16.08,0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,0.4,0.4,0.4,0.0,24.6,0.0,12.2,7.2,6.0,5.2,28.6,17.9,89.0,116.0,-6.2,"kyle kuzma,kentavious caldwell-pope,raul neto,corey kispert,daniel gafford,deni avdija,ish smith,rui hachimura,thomas bryant,anthony gill,cassius winston","keldon johnson,dejounte murray,devin vassell,jakob poeltl,doug mcdermott,lonnie walker iv,tre jones,keita bates-diop"
2022-02-26,17.13,0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,3.0,4.0,7.0,2.0,0.0,0.0,5.0,3.0,5.0,13.0,0.512,0.5,0.0,0.5,21.0,29.5,25.1,12.6,0.0,0.0,50.6,23.4,75.0,128.0,-14.7,"kyle lowry,bam adebayo,jimmy butler,p.j. tucker,duncan robinson,tyler herro,caleb martin,gabe vincent,dewayne dedmon","tre jones,keita bates-diop,devin vassell,doug mcdermott,josh richardson,jock landale,lonnie walker iv,joshua primo,devontae cacok,joe wieskamp"
2022-02-28,15.62,0,1.0,3.0,0.333,0.0,2.0,0.0,4.0,4.0,1.0,1.0,4.0,5.0,1.0,0.0,0.0,3.0,2.0,6.0,-5.0,0.63,0.333,0.667,1.333,5.7,31.5,16.5,8.1,0.0,0.0,38.7,20.5,88.0,120.0,-11.4,"ja morant,steven adams,desmond bane,ziaire williams,jaren jackson jr.,kyle anderson,de'anthony melton,tyus jones,brandon clarke,killian tillie,xavier tillman sr.","dejounte murray,devin vassell,jakob poeltl,keldon johnson,doug mcdermott,lonnie walker iv,tre jones,keita bates-diop,joshua primo,josh richardson,jock landale,joe wieskamp"
2022-03-03,14.63,1,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,2.0,4.0,3.0,1.0,1.0,0.0,0.0,7.1,30.5,18.4,25.0,0.0,0.0,33.3,8.9,153.0,115.0,3.0,"de'aaron fox,harrison barnes,domantas sabonis,justin holiday,trey lyles,donte divincenzo,davion mitchell,damian jones,jeremy lamb,chimezie metu","dejounte murray,jakob poeltl,devin vassell,doug mcdermott,keldon johnson,lonnie walker iv,tre jones,joshua primo,keita bates-diop,josh richardson"
2022-03-05,18.18,0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,2.0,8.0,10.0,2.0,0.0,3.0,1.0,4.0,5.0,-3.0,0.833,0.833,0.333,0.0,10.2,43.1,26.1,13.3,0.0,16.2,25.0,9.0,140.0,108.0,4.7,"p.j. washington,miles bridges,terry rozier,lamelo ball,mason plumlee,cody martin,kelly oubre jr.,montrezl harrell,jt thor","keldon johnson,dejounte murray,jakob poeltl,devin vassell,doug mcdermott,joshua primo,tre jones,lonnie walker iv,keita bates-diop"
