date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,29.57,0,7.0,9.0,0.778,0.0,0.0,0.0,1.0,4.0,0.25,4.0,6.0,10.0,3.0,1.0,1.0,6.0,3.0,15.0,6.0,0.697,0.778,0.0,0.444,18.0,22.1,20.3,15.9,1.6,3.8,35.8,24.1,97.0,96.0,-3.3,"pascal siakam,kyle lowry,og anunoby,fred vanvleet,norman powell,chris boucher,deandre' bembry,terence davis,malachi flynn,stanley johnson","brandon ingram,steven adams,lonzo ball,josh hart,jaxson hayes,nickeil alexander-walker"
2020-12-25,38.3,0,11.0,20.0,0.55,0.0,1.0,0.0,10.0,15.0,0.667,4.0,10.0,14.0,1.0,1.0,0.0,3.0,1.0,32.0,-13.0,0.602,0.55,0.05,0.75,11.9,36.9,23.1,7.3,1.3,0.0,10.1,33.3,117.0,115.0,6.3,"tyler herro,duncan robinson,bam adebayo,meyers leonard,jimmy butler,goran dragic,andre iguodala,precious achiuwa,maurice harkless,kz okpala,chris silva","brandon ingram,lonzo ball,steven adams,josh hart,jaxson hayes"
2020-12-27,38.05,1,7.0,22.0,0.318,0.0,1.0,0.0,4.0,7.0,0.571,5.0,6.0,11.0,0.0,5.0,1.0,1.0,3.0,18.0,-1.0,0.359,0.318,0.045,0.318,11.3,16.1,13.5,0.0,6.3,2.4,3.8,28.7,83.0,84.0,1.2,"lonnie walker iv,demar derozan,dejounte murray,keldon johnson,rudy gay,jakob poeltl,patty mills,devin vassell,trey lyles","lonzo ball,brandon ingram,steven adams,josh hart,jaxson hayes"
2020-12-29,28.82,0,9.0,13.0,0.692,0.0,0.0,0.0,2.0,6.0,0.333,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,20.0,-27.0,0.639,0.692,0.0,0.462,4.4,3.6,4.0,0.0,1.8,0.0,6.0,27.5,117.0,128.0,3.6,"mikal bridges,deandre ayton,devin booker,chris paul,jae crowder,cameron payne,cameron johnson,jevon carter,dario saric,langston galloway,frank kaminsky,damian jones,ty-shon alexander","brandon ingram,steven adams,lonzo ball,josh hart,nickeil alexander-walker,jaxson hayes,kira lewis jr.,willy hernangomez"
2020-12-31,17.42,0,4.0,6.0,0.667,0.0,0.0,0.0,4.0,6.0,0.667,4.0,1.0,5.0,1.0,0.0,0.0,3.0,4.0,12.0,8.0,0.694,0.667,0.0,1.0,23.5,5.4,14.1,8.4,0.0,0.0,25.8,28.6,117.0,88.0,-2.6,"shai gilgeous-alexander,darius bazley,al horford,george hill,luguentz dort,theo maledon,aleksej pokusevski,isaiah roby,hamidou diallo,mike muscala,josh hall,kenrich williams,moses brown","lonzo ball,steven adams,brandon ingram,josh hart,nickeil alexander-walker,jaxson hayes,kira lewis jr."
2021-01-02,32.77,1,7.0,12.0,0.583,0.0,0.0,0.0,7.0,10.0,0.7,2.0,5.0,7.0,1.0,0.0,1.0,3.0,2.0,21.0,8.0,0.64,0.583,0.0,0.833,6.7,15.9,11.4,5.9,0.0,3.4,15.5,24.6,115.0,122.0,-2.5,"fred vanvleet,kyle lowry,og anunoby,pascal siakam,chris boucher,norman powell,stanley johnson,alex len,terence davis","brandon ingram,lonzo ball,steven adams,josh hart,jaxson hayes,nickeil alexander-walker"
2021-01-04,35.13,1,9.0,19.0,0.474,0.0,0.0,0.0,6.0,8.0,0.75,4.0,6.0,10.0,2.0,1.0,1.0,3.0,2.0,24.0,18.0,0.533,0.474,0.0,0.421,11.4,19.7,15.2,9.9,1.4,3.1,11.8,29.7,107.0,107.0,3.3,"malcolm brogdon,victor oladipo,domantas sabonis,myles turner,aaron holiday,justin holiday,doug mcdermott,t.j. mcconnell","brandon ingram,lonzo ball,steven adams,josh hart,jaxson hayes,nickeil alexander-walker"
2021-01-06,32.38,1,12.0,17.0,0.706,0.0,0.0,0.0,5.0,6.0,0.833,3.0,3.0,6.0,1.0,3.0,0.0,2.0,3.0,29.0,-9.0,0.738,0.706,0.0,0.353,10.3,9.5,9.9,5.7,4.3,0.0,9.2,28.1,136.0,103.0,10.3,"shai gilgeous-alexander,darius bazley,luguentz dort,george hill,al horford,mike muscala,hamidou diallo,theo maledon,kenrich williams,isaiah roby","brandon ingram,lonzo ball,steven adams,josh hart,nickeil alexander-walker,jaxson hayes"
2021-01-08,33.7,1,12.0,22.0,0.545,0.0,0.0,0.0,2.0,4.0,0.5,6.0,2.0,8.0,3.0,0.0,0.0,3.0,1.0,26.0,-4.0,0.547,0.545,0.0,0.182,21.9,6.8,14.1,20.4,0.0,0.0,11.2,35.5,111.0,133.0,-3.0,"gordon hayward,devonte' graham,terry rozier,p.j. washington,bismack biyombo,miles bridges,lamelo ball,caleb martin,cody martin","lonzo ball,brandon ingram,steven adams,josh hart,nickeil alexander-walker,jaxson hayes"
2021-01-15,34.12,0,9.0,19.0,0.474,0.0,0.0,0.0,3.0,6.0,0.5,3.0,9.0,12.0,4.0,0.0,1.0,4.0,3.0,21.0,-15.0,0.485,0.474,0.0,0.316,10.3,25.3,18.6,19.9,0.0,2.5,15.6,32.9,95.0,114.0,-0.7,"anthony davis,lebron james,dennis schroder,kentavious caldwell-pope,kyle kuzma,montrezl harrell,alex caruso,markieff morris,wesley matthews,talen horton-tucker,alfonzo mckinnie","brandon ingram,steven adams,josh hart,nickeil alexander-walker,kira lewis jr.,jaxson hayes,naji marshall"
